clase,syn
http://purl.obolibrary.org/obo/DOID_0060562,síndrome de Bland-White-Garland
http://purl.obolibrary.org/obo/DOID_0060562,síndrome de White-Garland
http://purl.obolibrary.org/obo/DOID_11843,anomalía congénita de la arteria coronaria
http://purl.obolibrary.org/obo/DOID_11843,anomalía de la arteria coronaria
http://purl.obolibrary.org/obo/DOID_11843,"anomalía de la arteria coronaria, congénita"
http://purl.obolibrary.org/obo/DOID_0060565,displasia CCC
http://purl.obolibrary.org/obo/DOID_0060565,displasia craneocerebelocardíaca
http://purl.obolibrary.org/obo/DOID_0060566,síndrome de Holzgreve Wagner Rehder
http://purl.obolibrary.org/obo/DOID_0060566,síndrome de Holzgreve
http://purl.obolibrary.org/obo/DOID_0060569,síndrome de Cantú
http://purl.obolibrary.org/obo/DOID_0060570,tuberculosis cardiovascular
http://purl.obolibrary.org/obo/DOID_0060573,EVW tipo 1
http://purl.obolibrary.org/obo/DOID_0060573,EVW1
http://purl.obolibrary.org/obo/DOID_0060573,enfermedad de von Willebrand tipo 1
http://purl.obolibrary.org/obo/DOID_0060573,enfermedad de von Willebrand tipo I
http://purl.obolibrary.org/obo/DOID_12531,hemofilia vascular
http://purl.obolibrary.org/obo/DOID_12531,pseudohemofilia vascular
http://purl.obolibrary.org/obo/DOID_12531,enfermedad de von Willebrand
http://purl.obolibrary.org/obo/DOID_12531,trastorno de von Willebrand
http://purl.obolibrary.org/obo/DOID_12531,enfermedad de von Willebrand-Jurgens
http://purl.obolibrary.org/obo/DOID_12531,enfermedad de von Willebrand-Jurgens
http://purl.obolibrary.org/obo/DOID_0060574,EVW tipo 2
http://purl.obolibrary.org/obo/DOID_0060574,EVW2
http://purl.obolibrary.org/obo/DOID_0060574,enfermedad de von Willebrand tipo 2
http://purl.obolibrary.org/obo/DOID_0060574,enfermedad de von Willebrand tipo II
http://purl.obolibrary.org/obo/DOID_0060578,SN1
http://purl.obolibrary.org/obo/DOID_3490,fenotipo de Turner con cariotipo normal
http://purl.obolibrary.org/obo/DOID_0060580,SN2
http://purl.obolibrary.org/obo/DOID_0060581,SN3
http://purl.obolibrary.org/obo/DOID_0060582,SN4
http://purl.obolibrary.org/obo/DOID_0060583,SN5
http://purl.obolibrary.org/obo/DOID_0060584,SN6
http://purl.obolibrary.org/obo/DOID_0060585,SN7
http://purl.obolibrary.org/obo/DOID_0060586,SN8
http://purl.obolibrary.org/obo/DOID_0060587,SN9
http://purl.obolibrary.org/obo/DOID_0060588,SN10
http://purl.obolibrary.org/obo/DOID_0060589,"displasia cleidocraneal con micrognatia, pulgares ausentes y afalangia distal"
http://purl.obolibrary.org/obo/DOID_0060589,síndrome de displasia cleidocraneal-micrognatia-pulgares ausentes
http://purl.obolibrary.org/obo/DOID_0060590,XFEPS
http://purl.obolibrary.org/obo/DOID_0060590,síndrome progeroide XPF-ERCC1
http://purl.obolibrary.org/obo/DOID_0081332,enfermedad progeroide
http://purl.obolibrary.org/obo/DOID_0081332,síndromes progeroides
http://purl.obolibrary.org/obo/DOID_0060591,WHIMS
http://purl.obolibrary.org/obo/DOID_0060591,"verrugas, hipogammaglobulinemia, infecciones y mielocatexis"
http://purl.obolibrary.org/obo/DOID_0060591,síndrome de verrugas-hipogammaglobulinemia-infecciones-mielocatexis
http://purl.obolibrary.org/obo/DOID_612,hipoinmunidad
http://purl.obolibrary.org/obo/DOID_612,trastorno de inmunodeficiencia
http://purl.obolibrary.org/obo/DOID_612,síndrome de inmunodeficiencia
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfocítica aguda de células B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica aguda B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica aguda B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica aguda de células B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfoblástica aguda de células B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfocítica de células B del adulto
http://purl.obolibrary.org/obo/DOID_0060592,leucemia linfocítica de células B del adulto
http://purl.obolibrary.org/obo/DOID_5604,LLA del adulto
http://purl.obolibrary.org/obo/DOID_5604,leucemia linfoide aguda del adulto
http://purl.obolibrary.org/obo/DOID_0060597,LMCa
http://purl.obolibrary.org/obo/DOID_0060597,LMC atípica
http://purl.obolibrary.org/obo/DOID_0060597,leucemia mieloide crónica atípica
http://purl.obolibrary.org/obo/DOID_0060597,leucemia mieloide crónica atípica BCR-ABL1 negativa
http://purl.obolibrary.org/obo/DOID_0060597,leucemia mieloide crónica atípica BCR-ABL1 negativa
http://purl.obolibrary.org/obo/DOID_0060597,leucemia mieloide subaguda
http://purl.obolibrary.org/obo/DOID_0060601,deficiencia de antiplasmina
http://purl.obolibrary.org/obo/DOID_0060601,deficiencia del inhibidor de plasmina
http://purl.obolibrary.org/obo/DOID_2213,diátesis hemorrágica
http://purl.obolibrary.org/obo/DOID_0060602,deficiencia de AMACR
http://purl.obolibrary.org/obo/DOID_0060603,síndrome de Dann-Epstein-Sohar
http://purl.obolibrary.org/obo/DOID_11156,adiaforesis
http://purl.obolibrary.org/obo/DOID_11156,ausencia de sudoración
http://purl.obolibrary.org/obo/DOID_0060604,lengua atada
http://purl.obolibrary.org/obo/DOID_0060608,síndrome de Taybi-Linder
http://purl.obolibrary.org/obo/DOID_0060608,enanismo primordial braquimélico
http://purl.obolibrary.org/obo/DOID_0060608,displasia cefaloesquelética
http://purl.obolibrary.org/obo/DOID_0060608,enanismo con bajo peso al nacer y displasia esquelética
http://purl.obolibrary.org/obo/DOID_0060608,enanismo primordial osteodisplásico tipo I
http://purl.obolibrary.org/obo/DOID_0060609,enanismo primordial osteodisplásico de Majewski tipo II
http://purl.obolibrary.org/obo/DOID_0060609,enanismo primordial osteodisplásico tipo II
http://purl.obolibrary.org/obo/DOID_0060610,síndrome de Berdon
http://purl.obolibrary.org/obo/DOID_0060610,"síndrome de megavejiga, microcolon e hipoperistaltismo intestinal"
http://purl.obolibrary.org/obo/DOID_0060610,"síndrome de megavejiga-microcolon-hipoperistaltismo intestinal, MMHI"
http://purl.obolibrary.org/obo/DOID_0060610,miopatía visceral
http://purl.obolibrary.org/obo/DOID_0060614,síndrome ulnar-mamario de Pallister
http://purl.obolibrary.org/obo/DOID_0060614,síndrome de Schinzel
http://purl.obolibrary.org/obo/DOID_0060639,PDMI
http://purl.obolibrary.org/obo/DOID_0060639,DMNP
http://purl.obolibrary.org/obo/DOID_0060639,diabetes mellitus permanente de la infancia
http://purl.obolibrary.org/obo/DOID_0060641,síndrome ECO
http://purl.obolibrary.org/obo/DOID_0060642,EBDR tipo Hallopeau-Siemens
http://purl.obolibrary.org/obo/DOID_0060642,epidermólisis bullosa distrófica generalizada severa autosómica recesiva
http://purl.obolibrary.org/obo/DOID_0060642,epidermólisis bullosa distrófica autosómica recesiva tipo Hallopeau-Siemens
http://purl.obolibrary.org/obo/DOID_0060642,EBDR generalizada severa 
http://purl.obolibrary.org/obo/DOID_0060642,epidermólisis bullosa distrófica recesiva generalizada severa
http://purl.obolibrary.org/obo/DOID_4959,epidermólisis bullosa distrófica 
http://purl.obolibrary.org/obo/DOID_14268,colangitis fibrosante
http://purl.obolibrary.org/obo/DOID_0060644,síndrome de Nivelon-Nivelon-Mabille
http://purl.obolibrary.org/obo/DOID_0060644,síndrome de condrodisplasia-trastorno del desarrollo sexual
http://purl.obolibrary.org/obo/DOID_0060645,OMRC
http://purl.obolibrary.org/obo/DOID_0060645,osteomielitis multifocal crónica
http://purl.obolibrary.org/obo/DOID_1532,trastorno de la pleura
http://purl.obolibrary.org/obo/DOID_1532,enfermedad pleural no neoplásica
http://purl.obolibrary.org/obo/DOID_0060647,síndrome del capullo fetal
http://purl.obolibrary.org/obo/DOID_0060648,anomalía del desarrollo del segmento anterior
http://purl.obolibrary.org/obo/DOID_0060648,opacificación corneal y otras anomalías oculares
http://purl.obolibrary.org/obo/DOID_0060648,esclerocórnea con otras anomalías oculares
http://purl.obolibrary.org/obo/DOID_0060650,defecto de transporte de glutamato-aspartato
http://purl.obolibrary.org/obo/DOID_0060652,ECYT1
http://purl.obolibrary.org/obo/DOID_0060652,eritrocitosis benigna autosómica dominante
http://purl.obolibrary.org/obo/DOID_0060652,policitemia primaria familiar y congénita
http://purl.obolibrary.org/obo/DOID_1697,ictiosis
http://purl.obolibrary.org/obo/DOID_1697,ictiosis no sindrómica
http://purl.obolibrary.org/obo/DOID_0060669,malformaciones angiomatosas cavernosas
http://purl.obolibrary.org/obo/DOID_0060669,malformaciones capilares cerebrales
http://purl.obolibrary.org/obo/DOID_0060669,angioma cavernoso familiar
http://purl.obolibrary.org/obo/DOID_6713,ACV
http://purl.obolibrary.org/obo/DOID_6713,trastorno cerebrovascular
http://purl.obolibrary.org/obo/DOID_6713,ictus
http://purl.obolibrary.org/obo/DOID_9255,enfermedad de Wilhemsen-Lynch
http://purl.obolibrary.org/obo/DOID_9255,degeneración lobar frontotemporal
http://purl.obolibrary.org/obo/DOID_9255,taupatía multisistémica con demencia presenil
http://purl.obolibrary.org/obo/DOID_9255,degeneración palidopontonigral
http://purl.obolibrary.org/obo/DOID_0060675,TVPC1
http://purl.obolibrary.org/obo/DOID_0060675,displasia arritmogénica del ventrículo derecho 2
http://purl.obolibrary.org/obo/DOID_0060676,TVPC2
http://purl.obolibrary.org/obo/DOID_0060677,TVPC3
http://purl.obolibrary.org/obo/DOID_0060678,TVPC4
http://purl.obolibrary.org/obo/DOID_0060679,TVPC5
http://purl.obolibrary.org/obo/DOID_0060680,glaucoma asociado a síndrome de dispersión pigmentaria 
http://purl.obolibrary.org/obo/DOID_0060680,glaucoma por dispersión pigmentaria
http://purl.obolibrary.org/obo/DOID_0060681,EFN
http://purl.obolibrary.org/obo/DOID_0060682,EFN1
http://purl.obolibrary.org/obo/DOID_0060682,epilepsia frontal nocturna 1
http://purl.obolibrary.org/obo/DOID_0060683,EFN2
http://purl.obolibrary.org/obo/DOID_0060683,epilepsia frontal nocturna 2
http://purl.obolibrary.org/obo/DOID_0060684,EFN3
http://purl.obolibrary.org/obo/DOID_0060684,epilepsia frontal nocturna 3
http://purl.obolibrary.org/obo/DOID_0060685,EFN4
http://purl.obolibrary.org/obo/DOID_0060685,epilepsia frontal nocturna 4
http://purl.obolibrary.org/obo/DOID_0060686,EFN5
http://purl.obolibrary.org/obo/DOID_0060686,epilepsia frontal nocturna 5
http://purl.obolibrary.org/obo/DOID_0060688,malformación arteriovenosa cerebral
http://purl.obolibrary.org/obo/DOID_0060688,malformación arteriovenosa intracraneal
http://purl.obolibrary.org/obo/DOID_0060689,atriquia papular
http://purl.obolibrary.org/obo/DOID_0060690,AUNA1
http://purl.obolibrary.org/obo/DOID_0060690,NADNS
http://purl.obolibrary.org/obo/DOID_0060690,neuropatía auditiva dominante no sindrómica
http://purl.obolibrary.org/obo/DOID_0060691,trombastenia de Glanzmann autosómica dominante
http://purl.obolibrary.org/obo/DOID_0060691,trombastenia de Glanzmann y Naegeli autosómica dominante 
http://purl.obolibrary.org/obo/DOID_0060692,defecto del receptor plaquetario de ADP P2Y12
http://purl.obolibrary.org/obo/DOID_0060692,defecto del P2Y12
http://purl.obolibrary.org/obo/DOID_0060693,deficiencia de monoaminooxidasa A
http://purl.obolibrary.org/obo/DOID_0060694,ataxia cerebelosa de Cayman
http://purl.obolibrary.org/obo/DOID_0060695,enfermedad de Kok
http://purl.obolibrary.org/obo/DOID_0060695,síndrome del hombre rígido congénito
http://purl.obolibrary.org/obo/DOID_0060695,enfermedad del sobresalto familiar
http://purl.obolibrary.org/obo/DOID_0060695,hiperecplexia hereditaria
http://purl.obolibrary.org/obo/DOID_0060695,enfermedad del sobresalto
http://purl.obolibrary.org/obo/DOID_0060696,HKPX1
http://purl.obolibrary.org/obo/DOID_0060697,HKPX2
http://purl.obolibrary.org/obo/DOID_0060698,HKPX3
http://purl.obolibrary.org/obo/DOID_0060699,HBF
http://purl.obolibrary.org/obo/DOID_0060699,HHBF
http://purl.obolibrary.org/obo/DOID_0060699,HHF
http://purl.obolibrary.org/obo/DOID_0060699,hipercalcemia benigna familiar
http://purl.obolibrary.org/obo/DOID_0060699,hipercalcemia hipocalciúrica benigna familiar
http://purl.obolibrary.org/obo/DOID_0060700,HHF tipo 1
http://purl.obolibrary.org/obo/DOID_0060700,HHC1
http://purl.obolibrary.org/obo/DOID_0060700,hipercalcemia benigna familiar 1
http://purl.obolibrary.org/obo/DOID_0060700,hipercalcemia hipocalciúrica familiar tipo I
http://purl.obolibrary.org/obo/DOID_0060700,hipercalcemia hipocalciúrica tipo I
http://purl.obolibrary.org/obo/DOID_0060701,HHF tipo 2
http://purl.obolibrary.org/obo/DOID_0060701,HHC2
http://purl.obolibrary.org/obo/DOID_0060701,hipercalcemia hipocalciúrica familiar tipo 2
http://purl.obolibrary.org/obo/DOID_0060701,hipercalcemia hipocalciúrica tipo II
http://purl.obolibrary.org/obo/DOID_0060702,HHF tipo 3
http://purl.obolibrary.org/obo/DOID_0060702,HHC3
http://purl.obolibrary.org/obo/DOID_0060702,hipercalcemia hipocalciúrica familiar tipo 3
http://purl.obolibrary.org/obo/DOID_0060702,hipercalcemia hipocalciúrica tipo III
http://purl.obolibrary.org/obo/DOID_0060703,craneosinostosis asociada a FGFR3
http://purl.obolibrary.org/obo/DOID_2340,cierre prematuro de las suturas craneales
http://purl.obolibrary.org/obo/DOID_0060704,inmunodeficiencia combinada por deficiencia de ITK
http://purl.obolibrary.org/obo/DOID_0060705,LPX1
http://purl.obolibrary.org/obo/DOID_0060706,deficiencia de XIAP
http://purl.obolibrary.org/obo/DOID_0060706,LPX2
http://purl.obolibrary.org/obo/DOID_0060707,SLP1
http://purl.obolibrary.org/obo/DOID_0060708,deficiencia de CD27
http://purl.obolibrary.org/obo/DOID_0060708,SLP2
http://purl.obolibrary.org/obo/DOID_0060728,NGLY1-CDDG
http://purl.obolibrary.org/obo/DOID_0060728,trastorno congénito de la desglicosilación
http://purl.obolibrary.org/obo/DOID_0060728,trastorno congénito de la glicosilación tipo IV
http://purl.obolibrary.org/obo/DOID_0060728,deficiencia de N-glicanasa 1
http://purl.obolibrary.org/obo/DOID_0060730,distonía muscular deformante
http://purl.obolibrary.org/obo/DOID_11465,trastorno del sistema nervioso autónomo
http://purl.obolibrary.org/obo/DOID_0060732,síndrome 9p
http://purl.obolibrary.org/obo/DOID_0060732,síndrome de Alfi
http://purl.obolibrary.org/obo/DOID_0060732,síndrome de monosomía 9p
http://purl.obolibrary.org/obo/DOID_0060733,síndrome de Carmi
http://purl.obolibrary.org/obo/DOID_0060733,EBJ-AP
http://purl.obolibrary.org/obo/DOID_0060733,epidermólisis bullosa juntural con atresia pilórica
http://purl.obolibrary.org/obo/DOID_0060733,síndrome de epidermólisis bullosa juntural-atresia pilórica
http://purl.obolibrary.org/obo/DOID_3209,epidermólisis bullosa juntural congénita 
http://purl.obolibrary.org/obo/DOID_0060735,EBS-gen sev
http://purl.obolibrary.org/obo/DOID_0060735,EBS-DM
http://purl.obolibrary.org/obo/DOID_0060735,epidermólisis bullosa herpetiforme tipo Dowling-Meara
http://purl.obolibrary.org/obo/DOID_0060735,epidermólisis bullosa simple herpetiforme
http://purl.obolibrary.org/obo/DOID_0060735,epidermólisis bullosa simple generalizada severa
http://purl.obolibrary.org/obo/DOID_0060736,EBS-O
http://purl.obolibrary.org/obo/DOID_0060736,EBS-Og
http://purl.obolibrary.org/obo/DOID_0060736,EBSOG
http://purl.obolibrary.org/obo/DOID_0060737,epidermólisis bullosa juntural tipo Herlitz
http://purl.obolibrary.org/obo/DOID_0060737,epidermólisis bullosa tipo Herlitz-Pearson
http://purl.obolibrary.org/obo/DOID_0060737,EBJ-H
http://purl.obolibrary.org/obo/DOID_0060737,EBJ-tipo Herlitz
http://purl.obolibrary.org/obo/DOID_0060737,epidermólisis bullosa letal
http://purl.obolibrary.org/obo/DOID_0060737,epidermólisis bullosa juntural generalizada severa
http://purl.obolibrary.org/obo/DOID_0060737,epidermólisis bullosa juntural tipo Herlitz-Pearson
http://purl.obolibrary.org/obo/DOID_0060738,GABEB
http://purl.obolibrary.org/obo/DOID_0060738,EBJ-nH gen
http://purl.obolibrary.org/obo/DOID_0060738,JEN-nH
http://purl.obolibrary.org/obo/DOID_0060738,epidermólisis bullosa atrófica generalizada benigna   
http://purl.obolibrary.org/obo/DOID_0060738,epidermólisis bullosa juntural generalizada tipo no Herlitz
http://purl.obolibrary.org/obo/DOID_0060738,epidermólisis bullosa juntural generalizada leve
http://purl.obolibrary.org/obo/DOID_0060738,epidermólisis bullosa tipo Disentis
http://purl.obolibrary.org/obo/DOID_0060739,HFGS
http://purl.obolibrary.org/obo/DOID_0060739,síndrome mano-pie-útero
http://purl.obolibrary.org/obo/DOID_0060740,acidemia metilmalónica por deficiencia de metilmalonil-CoA mutasa
http://purl.obolibrary.org/obo/DOID_0060740,aciduria metilmalónica tipo mut
http://purl.obolibrary.org/obo/DOID_0060740,aciduria metilmalónica resistente a vitamina B12
http://purl.obolibrary.org/obo/DOID_0060741,acidemia metilmalónica tipo TCblR
http://purl.obolibrary.org/obo/DOID_0060741,aciduria metilmalónica por defecto del receptor de transcobalamina
http://purl.obolibrary.org/obo/DOID_0060742,aciduria metilmalónica tipo cblA
http://purl.obolibrary.org/obo/DOID_0060742,aciduria metilmalónica sensible a vitamina B12 por defecto en la síntesis de adenosilcobalamina tipo cb1A
http://purl.obolibrary.org/obo/DOID_0060743,aciduria metilmalónica tipo cblB
http://purl.obolibrary.org/obo/DOID_0060743,aciduria metilmalónica sensible a vitamina B12 por defecto en la síntesis de adenosilcobalamina de tipo complementación cblB
http://purl.obolibrary.org/obo/DOID_0060744,TDH2B
http://purl.obolibrary.org/obo/DOID_0060744,hipotiroidismo congénito por dishormonogénesis 2B
http://purl.obolibrary.org/obo/DOID_0060744,sordera con bocio
http://purl.obolibrary.org/obo/DOID_0060744,defecto genético en la hormonogénesis tiroidea 2B
http://purl.obolibrary.org/obo/DOID_0060744,síndrome de bocio-sordera
http://purl.obolibrary.org/obo/DOID_0060744,dishormonogénesis tiroidea 2B
http://purl.obolibrary.org/obo/DOID_0060745,DHRD
http://purl.obolibrary.org/obo/DOID_0060745,degeneración retiniana en panal de Doyne
http://purl.obolibrary.org/obo/DOID_0060746,drusas cuticulares
http://purl.obolibrary.org/obo/DOID_0060746,drusas de la membrana de Bruch
http://purl.obolibrary.org/obo/DOID_0060746,drusas agrupadas de aparición temprana en el adulto
http://purl.obolibrary.org/obo/DOID_0060747,síndrome DR
http://purl.obolibrary.org/obo/DOID_0060747,anomalía de Duane con anormalidades del rayo radial y sordera
http://purl.obolibrary.org/obo/DOID_0060747,síndrome de Okihiro
http://purl.obolibrary.org/obo/DOID_0060747,síndrome acro-reno-ocular
http://purl.obolibrary.org/obo/DOID_0060748,ELT1
http://purl.obolibrary.org/obo/DOID_0060748,epilepsia parcial con manifestaciones auditivas
http://purl.obolibrary.org/obo/DOID_3328,epilepsia del lóbulo temporal
http://purl.obolibrary.org/obo/DOID_0060749,ELT6
http://purl.obolibrary.org/obo/DOID_0060750,ELTMF
http://purl.obolibrary.org/obo/DOID_0060750,epilepsia del lóbulo temporal mesial familiar
http://purl.obolibrary.org/obo/DOID_0060751,ELT7
http://purl.obolibrary.org/obo/DOID_0060752,ELT5
http://purl.obolibrary.org/obo/DOID_0060753,EPOLM
http://purl.obolibrary.org/obo/DOID_0060753,ELT4
http://purl.obolibrary.org/obo/DOID_0060753,epilepsia del lóbulo occipitotemporal y migraña con aura
http://purl.obolibrary.org/obo/DOID_0060754,ELT8
http://purl.obolibrary.org/obo/DOID_0060755,ELT2
http://purl.obolibrary.org/obo/DOID_0060756,SOST1
http://purl.obolibrary.org/obo/DOID_0060757,SOST2
http://purl.obolibrary.org/obo/DOID_0060758,deficiencia de AID
http://purl.obolibrary.org/obo/DOID_0060758,HIGM2
http://purl.obolibrary.org/obo/DOID_0060758,HIGM2
http://purl.obolibrary.org/obo/DOID_0060758,deficiencia de citidina desaminasa inducida por activación
http://purl.obolibrary.org/obo/DOID_0060758,síndrome de hiper-IgM tipo 2
http://purl.obolibrary.org/obo/DOID_0060759,HIGM5
http://purl.obolibrary.org/obo/DOID_0060759,HIGM5
http://purl.obolibrary.org/obo/DOID_0060759,síndrome de hiper-IgM 5
http://purl.obolibrary.org/obo/DOID_0060759,síndrome de hiper-IgM por deficiencia de UNG
http://purl.obolibrary.org/obo/DOID_0060759,síndrome de hiper-IgM por uracil-N-glicosilasa
http://purl.obolibrary.org/obo/DOID_0060760,HIGM4
http://purl.obolibrary.org/obo/DOID_0060760,HIGM4
http://purl.obolibrary.org/obo/DOID_0060760,síndrome de hiper-IgM tipo 4
http://purl.obolibrary.org/obo/DOID_0060761,síndrome familiar similar a la LMC
http://purl.obolibrary.org/obo/DOID_8552,LMC
http://purl.obolibrary.org/obo/DOID_8552,LMC - Leucemia mielógena crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia mieloide crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia granulocítica crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia granulocítica crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia mielógena crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia mielógena crónica
http://purl.obolibrary.org/obo/DOID_8552,leucemia mieloide crónica
http://purl.obolibrary.org/obo/DOID_0060762,dermopatía restrictiva infantil
http://purl.obolibrary.org/obo/DOID_0060762,síndrome letal de contractura por piel rígida
http://purl.obolibrary.org/obo/DOID_0060762,síndrome de hiperqueratosis-contractura
http://purl.obolibrary.org/obo/DOID_0060762,dermopatía restrictiva letal
http://purl.obolibrary.org/obo/DOID_0060762,síndrome de contractura por piel rígida
http://purl.obolibrary.org/obo/DOID_0060763,retinosquisis juvenil ligada al X
http://purl.obolibrary.org/obo/DOID_0060763,retinosquisis ligada al X
http://purl.obolibrary.org/obo/DOID_0060763,RLX
http://purl.obolibrary.org/obo/DOID_0060764,síndrome COVESDEM
http://purl.obolibrary.org/obo/DOID_0060764,SRR
http://purl.obolibrary.org/obo/DOID_0060764,síndrome de segmentación costovertebral defectuosa-mesomelia
http://purl.obolibrary.org/obo/DOID_0060765,SRD2
http://purl.obolibrary.org/obo/DOID_0060766,SRD1
http://purl.obolibrary.org/obo/DOID_0060767,SRD3
http://purl.obolibrary.org/obo/DOID_0060768,síndrome de microdeleción 17p11.2
http://purl.obolibrary.org/obo/DOID_0060768,síndrome de deleción cromosómica 17p11.2
http://purl.obolibrary.org/obo/DOID_0060773,CLPED1
http://purl.obolibrary.org/obo/DOID_0060773,displasia ectodérmica tipo Margarita 
http://purl.obolibrary.org/obo/DOID_0060773,síndrome de Zlotogora-Zilberman-Tenenbaum
http://purl.obolibrary.org/obo/DOID_0060773,síndrome de hendidura labiopalatina-sindactilia-pili torti 
http://purl.obolibrary.org/obo/DOID_0060773,sindactilia-displasia ectodérmica-hendidura labiopalatina
http://purl.obolibrary.org/obo/DOID_0060782,síndrome de Rudiger 1
http://purl.obolibrary.org/obo/DOID_0060782,síndrome de Walker-Clodius
http://purl.obolibrary.org/obo/DOID_0060782,"síndrome de ectrodactilia, displasia ectodérmica y hendidura labiopalatina"
http://purl.obolibrary.org/obo/DOID_0060782,síndrome de ectrodactilia-displasia ectodérmica-hendidura
http://purl.obolibrary.org/obo/DOID_0060783,síndrome EEC 3
http://purl.obolibrary.org/obo/DOID_0060783,EEC3
http://purl.obolibrary.org/obo/DOID_0060784,síndrome EEC 1
http://purl.obolibrary.org/obo/DOID_0060784,EEC1
http://purl.obolibrary.org/obo/DOID_0060785,LDAD
http://purl.obolibrary.org/obo/DOID_0060785,leucodistrofia autosómica dominante del adulto
http://purl.obolibrary.org/obo/DOID_0060785,enfermedad de Pelizaeus-Merzbacher autosómica dominante o de inicio tardío
http://purl.obolibrary.org/obo/DOID_0060786,HLD
http://purl.obolibrary.org/obo/DOID_0060787,HLD2
http://purl.obolibrary.org/obo/DOID_0060787,PMLD1
http://purl.obolibrary.org/obo/DOID_0060787,enfermedad tipo Pelizaeus-Merzbacher 1
http://purl.obolibrary.org/obo/DOID_0060787,enfermedad tipo Pelizaeus-Merzbacher por mutación en GJC2
http://purl.obolibrary.org/obo/DOID_0060788,HLD10
http://purl.obolibrary.org/obo/DOID_0060789,HLD4
http://purl.obolibrary.org/obo/DOID_0060789,enfermedad de MitCHAP-60
http://purl.obolibrary.org/obo/DOID_0060789,enfermedad tipo Pelizaeus-Merzbacher por mutación en HSPD1
http://purl.obolibrary.org/obo/DOID_0060789,chaperonopatía mitocondrial HSP60
http://purl.obolibrary.org/obo/DOID_0060790,HLD3
http://purl.obolibrary.org/obo/DOID_0060790,enfermedad tipo Pelizaeus-Merzbacher por mutación en AIMP1
http://purl.obolibrary.org/obo/DOID_0060791,HLD9
http://purl.obolibrary.org/obo/DOID_0060791,leucodistrofia hipomielinizante autosómica recesiva asociada a RARS
http://purl.obolibrary.org/obo/DOID_0060792,HLD11
http://purl.obolibrary.org/obo/DOID_0060793,HLD5
http://purl.obolibrary.org/obo/DOID_0060793,síndrome de hipomielinización-catarata congénita
http://purl.obolibrary.org/obo/DOID_0060794,HLD7
http://purl.obolibrary.org/obo/DOID_0060794,síndrome TACH
http://purl.obolibrary.org/obo/DOID_0060794,síndrome de ataxia-dentición tardía-hipomielinización; odontoleucodistrofia
http://purl.obolibrary.org/obo/DOID_0060794,dentoleucoencefalopatía
http://purl.obolibrary.org/obo/DOID_0060794,síndrome de hipomielinización-atrofia cerebelosa-hipoplasia del cuerpo calloso
http://purl.obolibrary.org/obo/DOID_0060794,leucodistrofia con oligodoncia
http://purl.obolibrary.org/obo/DOID_0060794,síndrome de leucoencefalopatía-ataxia-hipodoncia-hipomielinización
http://purl.obolibrary.org/obo/DOID_0060794,síndrome de temblor-ataxia-hipomielinización central
http://purl.obolibrary.org/obo/DOID_0060795,HLD13
http://purl.obolibrary.org/obo/DOID_0060796,HLD12
http://purl.obolibrary.org/obo/DOID_0060797,HLD8
http://purl.obolibrary.org/obo/DOID_0060798,H-ABC
http://purl.obolibrary.org/obo/DOID_0060798,HABC
http://purl.obolibrary.org/obo/DOID_0060798,HLD6
http://purl.obolibrary.org/obo/DOID_0060798,leucodistrofia hipomielinizante con atrofia de ganglios basales y cerebelo
http://purl.obolibrary.org/obo/DOID_0060798,hipomielinización con atrofia de ganglios basales y cerebelo
http://purl.obolibrary.org/obo/DOID_0060799,síndrome de retraso mental de Lubs ligado al X
http://purl.obolibrary.org/obo/DOID_0060799,síndrome de duplicación MECP2
http://purl.obolibrary.org/obo/DOID_0060799,RMSLXL
http://purl.obolibrary.org/obo/DOID_0060799,síndrome de discapacidad intelectual-hipotonía-infecciones recurrentes ligado al X
http://purl.obolibrary.org/obo/DOID_0060799,retraso mental sindrómico ligado al X tipo Lubs
http://purl.obolibrary.org/obo/DOID_0060799,retraso mental ligado al X con infecciones respiratorias recurrentes
http://purl.obolibrary.org/obo/DOID_0060800,síndrome de Fried
http://purl.obolibrary.org/obo/DOID_0060800,RMX59
http://purl.obolibrary.org/obo/DOID_0060800,RMSX21
http://purl.obolibrary.org/obo/DOID_0060800,retraso mental sindrómico ligado al X tipo 5
http://purl.obolibrary.org/obo/DOID_0060800,síndrome de Pettigrew
http://purl.obolibrary.org/obo/DOID_0060800,síndrome de discapacidad intelectual ligada al X-malformación de Dandy-Walker-enfermedad de los ganglios basales-convulsiones
http://purl.obolibrary.org/obo/DOID_0060800,retraso mental ligado al X tipo 59
