class,syn
http://purl.obolibrary.org/obo/DOID_0040061,respiratory allergy to Reactive Black 5
http://purl.obolibrary.org/obo/DOID_0060496,airway allergy
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Chloraseptin
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Chlorazol
http://purl.obolibrary.org/obo/DOID_0040062,respiratory allergy to Trichlorol
http://purl.obolibrary.org/obo/DOID_0040063,respiratory allergy to vinyl cyclohexene diepoxide
http://purl.obolibrary.org/obo/DOID_0040064,allergic contact dermatitis to levo-carvone
http://purl.obolibrary.org/obo/DOID_0040065,Kinidin allergy
http://purl.obolibrary.org/obo/DOID_0040066,Alkeran allergy
http://purl.obolibrary.org/obo/DOID_0040067,allergic contact dermatitis to neomycin sulphate
http://purl.obolibrary.org/obo/DOID_0040068,allergic contact dermatitis to PTBP
http://purl.obolibrary.org/obo/DOID_0040068,allergic contact dermatitis to butylphen
http://purl.obolibrary.org/obo/DOID_0040069,allergic contact dermatitis to DNCB
http://purl.obolibrary.org/obo/DOID_0040069,allergic contact dermatitis to dinitrochlorobenzene
http://purl.obolibrary.org/obo/DOID_0040070,Bactrim allergy
http://purl.obolibrary.org/obo/DOID_0040070,TMP/SMX allergy
http://purl.obolibrary.org/obo/DOID_0040070,cotrimoxazol allergy
http://purl.obolibrary.org/obo/DOID_0040070,trimethoprim/sulfamethoxazole allergy
http://purl.obolibrary.org/obo/DOID_0040071,gold sodium thiomalate allergy
http://purl.obolibrary.org/obo/DOID_0040072,allergic contact dermatitis to feverfew
http://purl.obolibrary.org/obo/DOID_0040073,DSCG allergy
http://purl.obolibrary.org/obo/DOID_0040074,allergic contact dermatitis to formalin
http://purl.obolibrary.org/obo/DOID_0040075,allergic contact dermatitis to BIT
http://purl.obolibrary.org/obo/DOID_0040075,allergic contact dermatitis to benzisothiazolone
http://purl.obolibrary.org/obo/DOID_0040076,phthalyl allergy
http://purl.obolibrary.org/obo/DOID_0040079,allergic contact dermatitis to DNP
http://purl.obolibrary.org/obo/DOID_0040082,ETO allergy
http://purl.obolibrary.org/obo/DOID_0040082,ethylene oxide allergy
http://purl.obolibrary.org/obo/DOID_874,Pneumonia due to other gram-negative bacteria
http://purl.obolibrary.org/obo/DOID_874,gram-negative pneumonia
http://purl.obolibrary.org/obo/DOID_0040086,PVAN
http://purl.obolibrary.org/obo/DOID_0040086,polyomavirus associated nephropathy
http://purl.obolibrary.org/obo/DOID_11266,HFRS
http://purl.obolibrary.org/obo/DOID_11266,"Hemorrhagic fever, Russian"
http://purl.obolibrary.org/obo/DOID_11266,Hemorrhagic nephrosonephritis
http://purl.obolibrary.org/obo/DOID_11266,Puumala virus nephropathy
http://purl.obolibrary.org/obo/DOID_76,Gastropathy
http://purl.obolibrary.org/obo/DOID_76,stomach disorder
http://purl.obolibrary.org/obo/DOID_76,gastric disease
http://purl.obolibrary.org/obo/DOID_0040093,DIL
http://purl.obolibrary.org/obo/DOID_0040093,DILE
http://purl.obolibrary.org/obo/DOID_8857,lupus
http://purl.obolibrary.org/obo/DOID_0040099,livedoid vasculopathy
http://purl.obolibrary.org/obo/DOID_865,Angiitis
http://purl.obolibrary.org/obo/DOID_0040100,insulin autoimmune syndrome
http://purl.obolibrary.org/obo/DOID_0040101,neoprene allergy
http://purl.obolibrary.org/obo/DOID_0040102,neoprene allergy
http://purl.obolibrary.org/obo/DOID_10400,Gonorrhea of seminal vesicle
http://purl.obolibrary.org/obo/DOID_0050012,Chikungunya fever
http://purl.obolibrary.org/obo/DOID_934,Viral Infection
http://purl.obolibrary.org/obo/DOID_934,Viral disease
http://purl.obolibrary.org/obo/DOID_934,virus infection
http://purl.obolibrary.org/obo/DOID_0050025,human granulocytic ehrlichiosis
http://purl.obolibrary.org/obo/DOID_0050025,HGE
http://purl.obolibrary.org/obo/DOID_10242,human ehrlichiosis
http://purl.obolibrary.org/obo/DOID_0050026,Ehrlichiosis chafeensis
http://purl.obolibrary.org/obo/DOID_0050035,Rickettsia africae spotted fever
http://purl.obolibrary.org/obo/DOID_0050035,south african tick-bite fever
http://purl.obolibrary.org/obo/DOID_11104,Spotted fever group rickettsial disease
http://purl.obolibrary.org/obo/DOID_0050043,Israeli spotted fever
http://purl.obolibrary.org/obo/DOID_0050046,Rickettsia heilongjiangensis spotted fever
http://purl.obolibrary.org/obo/DOID_0050047,Thai tick typhus
http://purl.obolibrary.org/obo/DOID_0050047,FISF
http://purl.obolibrary.org/obo/DOID_0050050,Rickettsia japonica spotted fever
http://purl.obolibrary.org/obo/DOID_0050050,oriental spotted fever
http://purl.obolibrary.org/obo/DOID_0050051,maculatum infection
http://purl.obolibrary.org/obo/DOID_0050052,Tick typhus
http://purl.obolibrary.org/obo/DOID_0050052,Brazillian spotted
http://purl.obolibrary.org/obo/DOID_0050052,Choix
http://purl.obolibrary.org/obo/DOID_0050052,Exanthematic typhus of Sao Paulo
http://purl.obolibrary.org/obo/DOID_0050052,Fiebre maculosa
http://purl.obolibrary.org/obo/DOID_0050052,Fiebre manchada
http://purl.obolibrary.org/obo/DOID_0050052,Sao Paulo typhus
http://purl.obolibrary.org/obo/DOID_0050052,So Paulo fever
http://purl.obolibrary.org/obo/DOID_0050052,Tobia fever
http://purl.obolibrary.org/obo/DOID_13564,Infection due to Aspergillus
http://purl.obolibrary.org/obo/DOID_552,acute pneumonia
http://purl.obolibrary.org/obo/DOID_0050096,dermatophytosis of beard
http://purl.obolibrary.org/obo/DOID_37,Genodermatosis
http://purl.obolibrary.org/obo/DOID_37,skin and subcutaneous tissue disease
http://purl.obolibrary.org/obo/DOID_4337,Scalp ringworm
http://purl.obolibrary.org/obo/DOID_4337,Trichophyton rubrum tinea capitis
http://purl.obolibrary.org/obo/DOID_4337,dermatophytosis of scalp or beard
http://purl.obolibrary.org/obo/DOID_4337,tinea capitis due to Trichophyton rubrum
http://purl.obolibrary.org/obo/DOID_4337,Dermatophytosis of scalp
http://purl.obolibrary.org/obo/DOID_12179,Dermatophytosis of the trunk
http://purl.obolibrary.org/obo/DOID_12179,dermatophytosis of the body
http://purl.obolibrary.org/obo/DOID_0050117,infectious disease
http://purl.obolibrary.org/obo/DOID_0050118,California Encephalitis
http://purl.obolibrary.org/obo/DOID_0050118,California virus encephalitis
http://purl.obolibrary.org/obo/DOID_0050118,Neuroinvasive California encephalitis virus infection
http://purl.obolibrary.org/obo/DOID_936,encephalopathy
http://purl.obolibrary.org/obo/DOID_0050120,haemophagocytic syndrome
http://purl.obolibrary.org/obo/DOID_75,Lymphangiopathy
http://purl.obolibrary.org/obo/DOID_75,Lymphatic disease
http://purl.obolibrary.org/obo/DOID_75,disease of lympoid system
http://purl.obolibrary.org/obo/DOID_75,disorder of lymph node and lymphatics
http://purl.obolibrary.org/obo/DOID_75,disorder of lymphatic system
http://purl.obolibrary.org/obo/DOID_75,disorder of lymphoid system
http://purl.obolibrary.org/obo/DOID_75,lymphatic disorder
http://purl.obolibrary.org/obo/DOID_75,lympoid system disease
http://purl.obolibrary.org/obo/DOID_0050125,DSS
http://purl.obolibrary.org/obo/DOID_12205,Dengue Fever
http://purl.obolibrary.org/obo/DOID_12205,breakbone fever
http://purl.obolibrary.org/obo/DOID_12205,classic dengue
http://purl.obolibrary.org/obo/DOID_12205,classical dengue
http://purl.obolibrary.org/obo/DOID_1352,disorder of nasal sinus
http://purl.obolibrary.org/obo/DOID_13250,diarrhea of presumed infectious origin
http://purl.obolibrary.org/obo/DOID_13250,diarrhoea
http://purl.obolibrary.org/obo/DOID_0050133,Steroid-modified tinea infection
http://purl.obolibrary.org/obo/DOID_0050133,piedra
http://purl.obolibrary.org/obo/DOID_1564,mycosis
http://purl.obolibrary.org/obo/DOID_1564,mycoses
http://purl.obolibrary.org/obo/DOID_11976,Botulism poisoning
http://purl.obolibrary.org/obo/DOID_11976,Food poisoning due to Clostridium botulinum
http://purl.obolibrary.org/obo/DOID_11976,Foodborne botulism
http://purl.obolibrary.org/obo/DOID_11976,Infection due to clostridium botulinum
http://purl.obolibrary.org/obo/DOID_11976,Intoxication with Clostridium botulinum toxin
http://purl.obolibrary.org/obo/DOID_0050144,Kartagener's syndrome
http://purl.obolibrary.org/obo/DOID_9562,ciliary motility disorder
http://purl.obolibrary.org/obo/DOID_9562,immotile ciliary syndrome
http://purl.obolibrary.org/obo/DOID_0050145,chronic adenoiditis
http://purl.obolibrary.org/obo/DOID_0050147,Singapore ear
http://purl.obolibrary.org/obo/DOID_9463,swimmer's ear
http://purl.obolibrary.org/obo/DOID_10458,Legionella infection
http://purl.obolibrary.org/obo/DOID_0050156,FIBROCYSTIC PULMONARY DYSPLASIA
http://purl.obolibrary.org/obo/DOID_0050156,"IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL"
http://purl.obolibrary.org/obo/DOID_0050156,cryptogenic fibrosing alveolitis
http://purl.obolibrary.org/obo/DOID_3770,Fibrosis of lung
http://purl.obolibrary.org/obo/DOID_0050157,BOOP
http://purl.obolibrary.org/obo/DOID_0050157,Cryptogenic organising pneumonitis
http://purl.obolibrary.org/obo/DOID_0050157,Cryptogenic organizing pneumonitis
http://purl.obolibrary.org/obo/DOID_0050157,bronchiolitis obliterans organising pneumonia
http://purl.obolibrary.org/obo/DOID_0050157,bronchiolitis obliterans organizing pneumonia
http://purl.obolibrary.org/obo/DOID_0050157,cryptogenic organising pneumonia
http://purl.obolibrary.org/obo/DOID_0050157,idiopathic bronchiolitis obliterans with organising pneumonia
http://purl.obolibrary.org/obo/DOID_0050157,idiopathic bronchiolitis obliterans with organizing pneumonia
http://purl.obolibrary.org/obo/DOID_2797,Diffuse idiopathic pulmonary fibrosis
http://purl.obolibrary.org/obo/DOID_2797,Idiopathic fibrosing alveolitis
http://purl.obolibrary.org/obo/DOID_2797,IPF
http://purl.obolibrary.org/obo/DOID_0050158,RBILD
http://purl.obolibrary.org/obo/DOID_0050158,familial desquamative interstitial pneumonitis
http://purl.obolibrary.org/obo/DOID_0050158,respiratory bronchiolitis-associated interstitial lung disease
http://purl.obolibrary.org/obo/DOID_0050160,pulmonary anthrax
http://purl.obolibrary.org/obo/DOID_0050160,respiratory anthrax
http://purl.obolibrary.org/obo/DOID_0050160,wool-sorters' disease
http://purl.obolibrary.org/obo/DOID_0050160,woolsorters' disease
http://purl.obolibrary.org/obo/DOID_2149,Genitourinary tuberculosis
http://purl.obolibrary.org/obo/DOID_0050167,Autoimmune Polyglandular Syndrome I
http://purl.obolibrary.org/obo/DOID_0050167,Whitaker syndrome
http://purl.obolibrary.org/obo/DOID_0050167,autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy
http://purl.obolibrary.org/obo/DOID_14040,Autoimmune polyglandular failure
http://purl.obolibrary.org/obo/DOID_14040,Lloyd's syndrome
http://purl.obolibrary.org/obo/DOID_14040,autoimmune polyendocrinopathy
http://purl.obolibrary.org/obo/DOID_0050168,Schmidt syndrome
http://purl.obolibrary.org/obo/DOID_2365,West Nile Fever with encephalitis
http://purl.obolibrary.org/obo/DOID_2365,West Nile fever encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,Central European encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,Far Eastern TBE
http://purl.obolibrary.org/obo/DOID_0050175,Russian spring-summer encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,Siberian tick-borne encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,Taiga encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,Western European tick-borne encephalitis
http://purl.obolibrary.org/obo/DOID_0050175,west-Siberian encephalitis
http://purl.obolibrary.org/obo/DOID_1205,allergic hypersensitivity disease
http://purl.obolibrary.org/obo/DOID_1205,hypersensitivity
http://purl.obolibrary.org/obo/DOID_1205,hypersensitivity reaction type I disease
http://purl.obolibrary.org/obo/DOID_1884,Viral hepatitis with hepatic coma
http://purl.obolibrary.org/obo/DOID_1884,animal viral hepatitis
http://purl.obolibrary.org/obo/DOID_1884,human viral hepatitis
http://purl.obolibrary.org/obo/DOID_2938,EBV Infection
http://purl.obolibrary.org/obo/DOID_2938,Epstein-Barr virus infection
http://purl.obolibrary.org/obo/DOID_8469,Influenza with other manifestations
http://purl.obolibrary.org/obo/DOID_8469,flu
http://purl.obolibrary.org/obo/DOID_8469,influenza with non-respiratory manifestation
