source_id,predicate_id,source_text,source_lang,target_lang,target_text,tsg_set
DOID:0112030,rdfs:label,non-syndromic X-linked intellectual disability 84,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 84,1
DOID:0112031,rdfs:label,non-syndromic X-linked intellectual disability 89,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 89,1
DOID:0112032,rdfs:label,non-syndromic X-linked intellectual disability 92,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 92,1
DOID:0112033,rdfs:label,non-syndromic X-linked intellectual disability 81,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 81,1
DOID:0112034,rdfs:label,non-syndromic X-linked intellectual disability 9,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 9,1
DOID:0112035,rdfs:label,non-syndromic X-linked intellectual disability 96,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 96,1
DOID:0112036,rdfs:label,non-syndromic X-linked intellectual disability 105,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 105,1
DOID:0112037,rdfs:label,chromosome Xp11.22 duplication syndrome,en,es,síndrome de duplicación del cromosoma Xp11.22,1
DOID:0112038,rdfs:label,non-syndromic X-linked intellectual disability 1,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 1,1
DOID:0112039,rdfs:label,non-syndromic X-linked intellectual disability 77,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 77,1
DOID:0112040,rdfs:label,non-syndromic X-linked intellectual disability 100,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 100,1
DOID:0112041,rdfs:label,non-syndromic X-linked intellectual disability 90,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 90,1
DOID:0112042,rdfs:label,Tonne-Kalscheuer syndrome,en,es,síndrome de Tonne-Kalscheuer,1
DOID:0112043,rdfs:label,non-syndromic X-linked intellectual disability 91,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 91,1
DOID:0112044,rdfs:label,non-syndromic X-linked intellectual disability 98,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 98,1
DOID:0112045,rdfs:label,non-syndromic X-linked intellectual disability 93,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 93,1
DOID:0112046,rdfs:label,non-syndromic X-linked intellectual disability 97,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 97,1
DOID:0112047,rdfs:label,non-syndromic X-linked intellectual disability 53,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 53,1
DOID:0112048,rdfs:label,non-syndromic X-linked intellectual disability 101,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 101,1
DOID:0112049,rdfs:label,non-syndromic X-linked intellectual disability 23,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 23,1
DOID:0112050,rdfs:label,non-syndromic X-linked intellectual disability 63,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 63,1
DOID:0112051,rdfs:label,non-syndromic X-linked intellectual disability 30,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 30,1
DOID:0112052,rdfs:label,non-syndromic X-linked intellectual disability 82,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 82,1
DOID:0112053,rdfs:label,non-syndromic X-linked intellectual disability 88,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 88,1
DOID:0112054,rdfs:label,non-syndromic X-linked intellectual disability 107,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 107,1
DOID:0112055,rdfs:label,non-syndromic X-linked intellectual disability 46,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 46,1
DOID:0112056,rdfs:label,X-linked intellectual disability-short stature-overweight syndrome,en,es,discapacidad intelectual ligada al cromosoma X-síndrome de baja estatura-sobrepeso,1
DOID:0112057,rdfs:label,non-syndromic X-linked intellectual disability 42,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 42,1
DOID:0112058,rdfs:label,non-syndromic X-linked intellectual disability 41,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 41,1
DOID:0112059,rdfs:label,non-syndromic X-linked intellectual disability 72,en,es,discapacidad intelectual no sindrómica ligada al cromosoma X 72,1
DOID:0112060,rdfs:label,Raynaud-Claes syndrome,en,es,síndrome de Raynaud-Claes,1
DOID:0112061,rdfs:label,immunodeficiency 73b with defective neutrophil chemotaxis and lymphopenia,en,es,inmunodeficiencia 73b con quimiotaxis defectuosa de neutrófilos y linfopenia,1
DOID:0112062,rdfs:label,immunodeficiency 73c with defective neutrophil chemotaxis and hypogammaglobulinemia,en,es,inmunodeficiencia 73c con quimiotaxis de neutrófilos defectuosa e hipogammaglobulinemia,1
DOID:0112063,rdfs:label,X-Linked immunodeficiency 74,en,es,inmunodeficiencia 74 ligada al cromosoma X,1
DOID:0112064,rdfs:label,immunodeficiency 73a with defective neutrophil chemotaxis and leukocytosis,en,es,inmunodeficiencia 73a con quimiotaxis defectuosa de neutrófilos y leucocitosis,1
DOID:0112065,rdfs:label,nuclear type mitochondrial complex I deficiency,en,es,deficiencia del complejo I mitocondrial de tipo nuclear,1
DOID:0112066,rdfs:label,nuclear type mitochondrial complex I deficiency 6,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 6,1
DOID:0112067,rdfs:label,nuclear type mitochondrial complex I deficiency 25,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 25,1
DOID:0112068,rdfs:label,nuclear type mitochondrial complex I deficiency 5,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 5,1
DOID:0112069,rdfs:label,nuclear type mitochondrial complex I deficiency 22,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 22,1
DOID:0112070,rdfs:label,nuclear type mitochondrial complex I deficiency 18,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 18,1
DOID:0112071,rdfs:label,nuclear type mitochondrial complex I deficiency 31,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 31,1
DOID:0112072,rdfs:label,nuclear type mitochondrial complex I deficiency 20,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 20,1
DOID:0112073,rdfs:label,nuclear type mitochondrial complex I deficiency 9,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 9,1
DOID:0112074,rdfs:label,nuclear type mitochondrial complex I deficiency 1,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 1,1
DOID:0112075,rdfs:label,nuclear type mitochondrial complex I deficiency 10,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 10,1
DOID:0112076,rdfs:label,nuclear type mitochondrial complex I deficiency 13,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 13,1
DOID:0112077,rdfs:label,nuclear type mitochondrial complex I deficiency 15,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 15,1
DOID:0112078,rdfs:label,nuclear type mitochondrial complex I deficiency 17,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 17,1
DOID:0112079,rdfs:label,nuclear type mitochondrial complex I deficiency 24,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 24,1
DOID:0112080,rdfs:label,nuclear type mitochondrial complex I deficiency 32,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 32,1
DOID:0112081,rdfs:label,nuclear type mitochondrial complex I deficiency 8,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 8,1
DOID:0112082,rdfs:label,nuclear type mitochondrial complex I deficiency 4,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 4,1
DOID:0112083,rdfs:label,nuclear type mitochondrial complex I deficiency 2,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 2,1
DOID:0112084,rdfs:label,nuclear type mitochondrial complex I deficiency 29,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 29,1
DOID:0112085,rdfs:label,nuclear type mitochondrial complex I deficiency 19,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 19,1
DOID:0112086,rdfs:label,nuclear type mitochondrial complex I deficiency 26,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 26,1
DOID:0112087,rdfs:label,nuclear type mitochondrial complex I deficiency 23,en,es,deficiencia del complejo I mitocondrial de tipo nuclear 23,1
