source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0110133	oboInOwl:hasExactSynonym	BBS11	BBS11	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110133	rdfs:label	Bardet-Biedl syndrome 11	Síndrome de Bardet-Biedl 11	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110134	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the BBS12 gene on chromosome 4q27.	Síndrome de Bardet-Biedl que tiene su base material en una mutación homocigota o heterocigota compuesta en el gen BBS12 del cromosoma 4q27.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.66305	JAB-quick			
DOID:0110134	oboInOwl:hasExactSynonym	BBS12	BBS12	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110134	rdfs:label	Bardet-Biedl syndrome 12	Síndrome de Bardet-Biedl 12	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110135	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in compound heterozygous mutation in the MKS1 gene on chromosome 17q22.	Un síndrome de Bardet-Biedl que tiene su base material en una mutación heterocigota compuesta en el gen MKS1 del cromosoma 17q22.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.66425	JAB-quick			
DOID:0110135	oboInOwl:hasExactSynonym	BBS13	BBS13	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0110135	rdfs:label	Bardet-Biedl syndrome 13	Síndrome de Bardet-Biedl 13	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0110136	IAO:0000115	A Bardet-Biedl syndrome that has_material_basis_in homozygous mutation in the CEP290 gene on chromosome 12q21.	Un síndrome de Bardet-Biedl que tiene como base material una mutación homocigota en el gen CEP290 del cromosoma 12q21.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.684	JAB-quick			
DOID:0110136	oboInOwl:hasExactSynonym	BBS14	BBS14	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
