source_id	predicate	source_text	translation_text	translator	source_lang	translation_lang	status	auto_review_score	final_reviewer	review_notes	synonym_type	status_history
DOID:0112300	IAO:0000115	A spondylometaphyseal dysplasia characterized by postnatal growth deficiency, profound short stature, rhizomelia with bowing of the lower extremities, platyspondyly with anterior vertebral protrusions, progressive metaphyseal irregularity and cupping with shortened tubular bones, and early-onset progressive visual impairment associated with a pigmentary maculopathy and electroretinographic evidence of cone-rod dysfunction that has_material_basis_in homozygous or compound heterozygous mutation in the PCYT1A gene on chromosome 3q29.	La displasia espondilometafisaria se caracteriza por deficiencia de crecimiento postnatal,  estatura baja profunda,  rizomelia con arqueamiento de las extremidades inferiores,  platispondilia con protrusiones vertebrales anteriores,   irregularidad metafisaria progresiva y ahuecamiento con acortamiento de los huesos tubulares,  y deficiencia visual progresiva de inicio precoz asociada a una maculopatía pigmentaria y evidencia electrorretinográfica de disfunción de los conos y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen PCYT1A del cromosoma 3q29.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.62075		"[JAB] translation should be reviewed; written as though it's the parent term ""El/La <parent term> se caracteriza"""		
DOID:0112300	oboInOwl:hasExactSynonym	SMD-CRD	SMD-CRD	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112300	oboInOwl:hasExactSynonym	SMDCRD	SMDCRD	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112300	oboInOwl:hasExactSynonym	spondylometaphyseal dysplasia-cone-rod dystrophy syndrome	Síndrome de displasia espondilometafisaria-distrofia de conos-bastones	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0112300	rdfs:label	spondylometaphyseal dysplasia with cone-rod dystrophy	displasia espondilometafisaria con distrofia de conos	The Spanish Group (https://thespanishgroup.org/)	en	es	FINAL	0.645	Claudia			
DOID:0112301	IAO:0000115	A spondylometaphyseal dysplasia characterized by severe metaphyseal changes of the femoral neck and ovoid, flattened vertebral bodies with anterior tongue-like deformities.	La displasia espondilometafisaria se caracteriza por cambios metafisarios graves del cuello femoral y cuerpos vertebrales ovoides y aplanados con deformidades anteriores en forma de lengua.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6844				
DOID:0112301	rdfs:label	spondylometaphyseal dysplasia type A4	displasia espondilometafisaria tipo A4	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112302	IAO:0000115	A spondylometaphyseal dysplasia characterized by oval vertebral bodies with wide, bracket-shaped metaphyses and small, round epiphyses without anterior tonguing of the vertebral bodies.	La displasia espondilometafisaria se caracteriza por cuerpos vertebrales ovalados con metáfisis anchas en forma de corchete y epífisis pequeñas y redondas sin lengüeta anterior de los cuerpos vertebrales.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.58135				
DOID:0112302	rdfs:label	spondylometaphyseal dysplasia East African type	displasia espondilometafisaria tipo África Oriental	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.915				
DOID:0112303	IAO:0000115	A spondylometaphyseal dysplasia characterized by spondylometaphyseal dysplasia and corneal dystrophy that has_material_basis_in homozygous or compound heterozygous mutation in the PLCB3 gene on chromosome 11q13.1.	La displasia espondilometafisaria se caracteriza por displasia espondilometafisaria y distrofia corneal y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen PLCB3 del cromosoma 11q13.1.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6028				
DOID:0112303	oboInOwl:hasExactSynonym	SMDCD	SMDCD	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112303	rdfs:label	spondylometaphyseal dysplasia with corneal dystrophy	displasia espondilometafisaria con distrofia corneal	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.99				
DOID:0112304	IAO:0000115	A spondylometaphyseal dysplasia that has_material_basis_in homozygous or compound heterozygous mutation in the PAM16 gene on chromosome 16p13.3.	La displasia espondilometafisaria y tiene_base_material_en una mutación homocigota o heterocigota compuesta en el gen PAM16 en el cromosoma 16p13.3.	The Spanish Group (https://thespanishgroup.org/)	en	es	MANUALLY TRANSLATED	0.6473				
DOID:0112304	oboInOwl:hasExactSynonym	Megarbane-Dagher-Melike type chondrodysplasia	Condrodisplasia tipo Megarbane-Dagher-Melike	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1				
DOID:0112304	oboInOwl:hasExactSynonym	SMDMDM	SMDMDM	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	1			obo:OMO_0003012	
DOID:0112304	rdfs:label	spondylometaphyseal dysplasia Megarbane-Dagher-Melike type	displasia espondilometafisaria tipo Megarbane-Dagher-Melike	The Spanish Group (https://thespanishgroup.org/)	en	es	PASSED AUTOMATED REVIEW	0.8232999999999999				
