clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0080556,trastorno congénito de la glicosilación 1d,,,,
http://purl.obolibrary.org/obo/DOID_0080557,trastorno congénito de la glicosilación 1e,,,,
http://purl.obolibrary.org/obo/DOID_0080558,trastorno congénito de la glicosilación 1f,,,,
http://purl.obolibrary.org/obo/DOID_0080559,ALG12-trastorno congénito de la glicosilación,,,,
http://purl.obolibrary.org/obo/DOID_0080559,trastorno congénito de la glicosilación 1g,,,,
http://purl.obolibrary.org/obo/DOID_0080560,trastorno congénito de la glicosilación 1h,,,,
http://purl.obolibrary.org/obo/DOID_0080561,trastorno congénito de la glicosilación 1i,,,,
http://purl.obolibrary.org/obo/DOID_0080562,Trastorno congénito de la glicosilación 1j,,,,
http://purl.obolibrary.org/obo/DOID_0080563,trastorno congénito de la glicosilación 1k,,,,
http://purl.obolibrary.org/obo/DOID_0080564,trastorno congénito de la glicosilación 1l,,,,
http://purl.obolibrary.org/obo/DOID_0080565,DOLK-trastorno congénito de la glicosilación,,,,
http://purl.obolibrary.org/obo/DOID_0080565,trastorno congénito de la glicosilación 1m,,,,
http://purl.obolibrary.org/obo/DOID_0080565,deficiencia de dolicol quinasa,,,,
http://purl.obolibrary.org/obo/DOID_0080566,trastorno congénito de la glicosilación 1n,,,,
http://purl.obolibrary.org/obo/DOID_0080567,trastorno congénito de la glicosilación 1p,,,,
http://purl.obolibrary.org/obo/DOID_0080568,trastorno congénito de la glicosilación 1q,,,,
http://purl.obolibrary.org/obo/DOID_0080569,trastorno congénito de la glicosilación 1r,,,,
http://purl.obolibrary.org/obo/DOID_0080570,trastorno congénito de la glicosilación 1t,,,,
http://purl.obolibrary.org/obo/DOID_0080571,trastorno congénito de la glicosilación 1u,,,,
http://purl.obolibrary.org/obo/DOID_0080572,trastorno congénito de la glicosilación 1w,,,,
http://purl.obolibrary.org/obo/DOID_0080573,trastorno congénito de la glicosilación 1x,,,,
http://purl.obolibrary.org/obo/DOID_0080574,trastorno congénito de la glicosilación 1y,,,,
http://purl.obolibrary.org/obo/DOID_10426,Klippel-Feil y síndrome de Turner,,,,
http://purl.obolibrary.org/obo/DOID_10426,“Deformidad de Klippel-Feil, sordera y asimetría facial”,,,
http://purl.obolibrary.org/obo/DOID_10426,síndrome de Klippel-Feil autosómico dominante,,,,
http://purl.obolibrary.org/obo/DOID_10426,distrofia brevicollis congénita,,,,
http://purl.obolibrary.org/obo/DOID_10426,sinostosis congénita de las vértebras cervicales,,,,
http://purl.obolibrary.org/obo/DOID_0080700,síndrome de disgenesia caudal,,,,
http://purl.obolibrary.org/obo/DOID_0080700,secuencia de displasia caudal,,,,
http://purl.obolibrary.org/obo/DOID_0080700,secuencia de regresión caudal,,,,
http://purl.obolibrary.org/obo/DOID_0080700,agenesia sacra,,,,
http://purl.obolibrary.org/obo/DOID_0080700,defecto sacro con meningocele anterior,,,,
http://purl.obolibrary.org/obo/DOID_0080833,laringomalacia congénita,,,,
http://purl.obolibrary.org/obo/DOID_0080980,síndrome de Zain,,,,
http://purl.obolibrary.org/obo/DOID_0081021,fibrosis congénita de los músculos extraoculares 4,,,,
http://purl.obolibrary.org/obo/DOID_14791,LCA,,,,
http://purl.obolibrary.org/obo/DOID_14791,amaurosis de Leber,,,,
http://purl.obolibrary.org/obo/DOID_14791,amaurosis congénita de Leber,,,,
http://purl.obolibrary.org/obo/DOID_14791,enfermedad de Leber,,,,
http://purl.obolibrary.org/obo/DOID_0081266,PAMDDFS,,,,
http://purl.obolibrary.org/obo/DOID_2106,miopatía congénita de Batten Turner,,,,
http://purl.obolibrary.org/obo/DOID_2106,enfermedad de Thomsen y Becker,,,,
http://purl.obolibrary.org/obo/DOID_0081336,“Miotonía congénita, forma autosómica dominante”,,,
http://purl.obolibrary.org/obo/DOID_0081336,enfermedad de Thomsen,,,,
http://purl.obolibrary.org/obo/DOID_0090101,miocardiopatía hipertrófica congénita mortal debida a una EAG,,,,
http://purl.obolibrary.org/obo/DOID_0090101,miocardiopatía hipertrófica congénita mortal debida a glucogenosis,,,,
http://purl.obolibrary.org/obo/DOID_0090101,glucogenosis cardiaca congénita no lisosómica mortal,,,,
http://purl.obolibrary.org/obo/DOID_0090101,deficiencia de fosforilasa quinasa del corazón,,,,
http://purl.obolibrary.org/obo/DOID_0090118,CAMT,,,,
http://purl.obolibrary.org/obo/DOID_0090118,púrpura trombocitopénica amegacariocítica congénita,,,,
http://purl.obolibrary.org/obo/DOID_0090124,AMC tipo neurogénico,,,,
http://purl.obolibrary.org/obo/DOID_0090124,AMC2,,,,
http://purl.obolibrary.org/obo/DOID_0090124,AMCN,,,,
http://purl.obolibrary.org/obo/DOID_0090124,“artrogriposis múltiple congénita 2,tipo neurogénico”,,,
http://purl.obolibrary.org/obo/DOID_0090124,artrogriposis múltiple congénita de tipo neurogénico,,,,
http://purl.obolibrary.org/obo/DOID_0110005,LCA9,,,,
http://purl.obolibrary.org/obo/DOID_0110016,LCA2,,,,
http://purl.obolibrary.org/obo/DOID_0110016,amaurosis congénita de Leber II,,,,
http://purl.obolibrary.org/obo/DOID_0110078,LCA1,,,,
http://purl.obolibrary.org/obo/DOID_0110078,amaurosis congénita de Leber I,,,,
http://purl.obolibrary.org/obo/DOID_0110079,LCA8,,,,
http://purl.obolibrary.org/obo/DOID_0110080,LCA12,,,,
http://purl.obolibrary.org/obo/DOID_0110106,ASD1,,,,
http://purl.obolibrary.org/obo/DOID_0110106,comunicación interauricular 1,,,,
http://purl.obolibrary.org/obo/DOID_1882,comunicación interauricular,,,,
http://purl.obolibrary.org/obo/DOID_1882,defecto septal atrial,,,,
http://purl.obolibrary.org/obo/DOID_1882,defecto septal auricular,,,,
http://purl.obolibrary.org/obo/DOID_1882,comunicación interauricular congénita,,,,
http://purl.obolibrary.org/obo/DOID_1882,defecto septal interauricular,,,,
http://purl.obolibrary.org/obo/DOID_1882,defecto septal interauricular,,,,
http://purl.obolibrary.org/obo/DOID_0110107,ASD2,,,,
http://purl.obolibrary.org/obo/DOID_0110107,comunicación interauricular 2,,,,
http://purl.obolibrary.org/obo/DOID_0110108,ASD3,,,,
http://purl.obolibrary.org/obo/DOID_0110108,comunicación interauricular 3,,,,
http://purl.obolibrary.org/obo/DOID_0110109,ASD4,,,,
http://purl.obolibrary.org/obo/DOID_0110109,comunicación interauricular 4,,,,
http://purl.obolibrary.org/obo/DOID_0110110,ASD5,,,,
http://purl.obolibrary.org/obo/DOID_0110110,comunicación interauricular 5,,,,
http://purl.obolibrary.org/obo/DOID_0110111,ASD6,,,,
http://purl.obolibrary.org/obo/DOID_0110111,comunicación interauricular 6,,,,
http://purl.obolibrary.org/obo/DOID_0110112,CIA con o sin defectos de conducción auriculoventricular,,,,
http://purl.obolibrary.org/obo/DOID_0110112,“comunicación interauricular 7,con o sin defectos de conducción AV”,,,
http://purl.obolibrary.org/obo/DOID_0110112,síndrome de comunicación interauricular- defectos de conducción auriculoventricular,,,,
http://purl.obolibrary.org/obo/DOID_0110113,ASD8,,,,
http://purl.obolibrary.org/obo/DOID_0110113,comunicación interauricular 8,,,,
http://purl.obolibrary.org/obo/DOID_0110114,ASD9,,,,
http://purl.obolibrary.org/obo/DOID_0110114,comunicación interauricular 9,,,,
http://purl.obolibrary.org/obo/DOID_0110118,LCA16,,,,
http://purl.obolibrary.org/obo/DOID_0110188,LCA14,,,,
http://purl.obolibrary.org/obo/DOID_0110189,LCA15,,,,
http://purl.obolibrary.org/obo/DOID_0110214,velo hendido,,,,
http://purl.obolibrary.org/obo/DOID_0110214,velo palatino hendido,,,,
http://purl.obolibrary.org/obo/DOID_0110214,paladar hendido blando,,,,
http://purl.obolibrary.org/obo/DOID_0110215,LCA5,,,,
http://purl.obolibrary.org/obo/DOID_0110216,LCA11,,,,
http://purl.obolibrary.org/obo/DOID_0110217,LCA17,,,,
http://purl.obolibrary.org/obo/DOID_0110291,LCA10,,,,
http://purl.obolibrary.org/obo/DOID_0110329,LCA6,,,,
http://purl.obolibrary.org/obo/DOID_0110330,LCA13,,,,
http://purl.obolibrary.org/obo/DOID_0110331,LCA3,,,,
http://purl.obolibrary.org/obo/DOID_0110332,LCA4,,,,
http://purl.obolibrary.org/obo/DOID_0110333,LCA7,,,,
http://purl.obolibrary.org/obo/DOID_0110632,miopatía meconial congénita,,,,
http://purl.obolibrary.org/obo/DOID_0110632,distrofia muscular congénita debida a un defecto en la biosíntesis de la fosfatidilcolina,,,,
http://purl.obolibrary.org/obo/DOID_0110632,distrofia muscular congénita con anomalías estructurales mitocondriales,,,,
http://purl.obolibrary.org/obo/DOID_0110632,distrofia muscular congénita megaconial,,,,
http://purl.obolibrary.org/obo/DOID_0110633,distrofia muscular congénita tipo Eichsfeld,,,,
http://purl.obolibrary.org/obo/DOID_0110633,MDRS1,,,,
http://purl.obolibrary.org/obo/DOID_0110633,RSMD1,,,,
http://purl.obolibrary.org/obo/DOID_0110633,RSS,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía relacionada con SEPN1,,,,
http://purl.obolibrary.org/obo/DOID_0110633,clásico MmD,,,,
http://purl.obolibrary.org/obo/DOID_0110633,enfermedad multiminicore clásica,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía clásica multinúcleo,,,,
http://purl.obolibrary.org/obo/DOID_0110633,distrofia muscular congénita merosina-positiva con rigidez precoz de la columna vertebral,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía relacionada con la desmina con cuerpos de Mallory,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía relacionada con la desmina con inclusiones similares a los cuerpos de Mallory,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía relacionada con la desmina de aparición temprana,,,,
http://purl.obolibrary.org/obo/DOID_0110633,síndrome de columna rígida,,,,
http://purl.obolibrary.org/obo/DOID_0110633,forma clásica grave miopatía multiminicore,,,,
http://purl.obolibrary.org/obo/DOID_0110633,miopatía multinúcleo de forma clásica grave,,,,
http://purl.obolibrary.org/obo/DOID_0110633,forma clásica grave enfermedad multiminicore,,,,
http://purl.obolibrary.org/obo/DOID_0110634,CMD1B,,,,
http://purl.obolibrary.org/obo/DOID_0110634,MDC1B,,,,
http://purl.obolibrary.org/obo/DOID_0110634,distrofia muscular congénita tipo 1B,,,,
http://purl.obolibrary.org/obo/DOID_0110635,distrofia muscular congénita relacionada con el FKRP,,,,
http://purl.obolibrary.org/obo/DOID_0110635,MDC1C,,,,
http://purl.obolibrary.org/obo/DOID_0110635,MDDGB5,,,,
http://purl.obolibrary.org/obo/DOID_0110635,distrofia muscular congénita 1C,,,,
http://purl.obolibrary.org/obo/DOID_0110635,“distrofia-distroglicanopatía muscular (congénita con o sin deterioro del desarrollo intelectual), tipo B, 5”,,
http://purl.obolibrary.org/obo/DOID_0110635,“distrofia-distroglicanopatía muscular (congénita con o sin retraso mental), tipo B, 5”,,
http://purl.obolibrary.org/obo/DOID_0110636,CMD1A,,,,
http://purl.obolibrary.org/obo/DOID_0110636,MDC1A,,,,
http://purl.obolibrary.org/obo/DOID_0110636,Distrofia muscular congénita merosina-negativa,,,,
http://purl.obolibrary.org/obo/DOID_0110636,distrofia muscular congénita por deficiencia de laminina alfa2,,,,
http://purl.obolibrary.org/obo/DOID_0110637,MDC1D,,,,
http://purl.obolibrary.org/obo/DOID_0110637,MDDGB6,,,,
http://purl.obolibrary.org/obo/DOID_0110637,distrofia muscular congénita relacionada con LARGE,,,,
http://purl.obolibrary.org/obo/DOID_0110637,distrofia muscular congénita tipo 1D,,,,
http://purl.obolibrary.org/obo/DOID_0110637,“distrofia-distroglicanopatía muscular (congénita con deterioro del desarrollo intelectual), tipo B, 6”,,
http://purl.obolibrary.org/obo/DOID_0110637,“distrofia-distroglicanopatía muscular (congénita con retraso mental), tipo B, 6”,,
http://purl.obolibrary.org/obo/DOID_0110668,CMS10,,,,
http://purl.obolibrary.org/obo/DOID_0110668,LGM,,,,
http://purl.obolibrary.org/obo/DOID_0110668,distrofia muscular congénita merosina-positiva,,,,
http://purl.obolibrary.org/obo/DOID_0110668,miastenia familiar de cinturas de extremidades,,,,
http://purl.obolibrary.org/obo/DOID_0110639,distrofia muscular congénita con deficiencia de ITGA7,,,,
http://purl.obolibrary.org/obo/DOID_0110639,distrofia muscular congénita con deficiencia de integrina alfa-7,,,,
http://purl.obolibrary.org/obo/DOID_0110639,miopatía congénita por deficiencia de integrina alfa-7,,,,
http://purl.obolibrary.org/obo/DOID_0110640,L-CMD,,,,
http://purl.obolibrary.org/obo/DOID_0110640,distrofia muscular congénita relacionada con LMNA,,,,
http://purl.obolibrary.org/obo/DOID_0110640,distrofia muscular congénita relacionada con LMNA,,,,
http://purl.obolibrary.org/obo/DOID_0110657,CMS8,,,,
http://purl.obolibrary.org/obo/DOID_0110657,síndrome miasténico congénito 8 con defectos pre y postsinápticos,,,,
http://purl.obolibrary.org/obo/DOID_0110657,síndrome miasténico congénito por deficiencia de arginina,,,,
http://purl.obolibrary.org/obo/DOID_0110658,CMS15,,,,
http://purl.obolibrary.org/obo/DOID_0110658,síndrome miasténico congénito 15 sin agregados tubulares,,,,
http://purl.obolibrary.org/obo/DOID_0110659,CMS7,,,,
http://purl.obolibrary.org/obo/DOID_0110659,síndrome miasténico congénito 7 presináptico,,,,
http://purl.obolibrary.org/obo/DOID_0110660,CMS12,,,,
http://purl.obolibrary.org/obo/DOID_0110660,miastenia congénita 12 con agregados tubulares,,,,
http://purl.obolibrary.org/obo/DOID_0110661,CMS20,,,,
http://purl.obolibrary.org/obo/DOID_0110661,síndrome miasténico congénito 20 presináptico,,,,
http://purl.obolibrary.org/obo/DOID_0110662,CMS1B,,,,
http://purl.obolibrary.org/obo/DOID_0110662,“síndrome miasténico congénito 1B, canal rápido”,,,
http://purl.obolibrary.org/obo/DOID_0110663,CMS IIa,,,,
http://purl.obolibrary.org/obo/DOID_0110663,CMS1A,,,,
http://purl.obolibrary.org/obo/DOID_0110663,“síndrome miasténico congénito 1A, canal lento”,,,
http://purl.obolibrary.org/obo/DOID_0110663,síndrome miasténico congénito tipo IIa,,,,
http://purl.obolibrary.org/obo/DOID_0110664,síndrome miasténico congénito 3C asociado a la deficiencia del receptor de acetilcolina,,,,
http://purl.obolibrary.org/obo/DOID_0110665,CMS3B,,,,
http://purl.obolibrary.org/obo/DOID_0110665,“síndrome miasténico congénito 3B, canal rápido”,,,
http://purl.obolibrary.org/obo/DOID_0110666,CMS3A,,,,
http://purl.obolibrary.org/obo/DOID_0110666,“síndrome miasténico congénito 3A, canal lento”,,,
http://purl.obolibrary.org/obo/DOID_0110667,CMS Ic,,,,
http://purl.obolibrary.org/obo/DOID_0110667,CMS5,,,,
http://purl.obolibrary.org/obo/DOID_0110667,EAD,,,,
http://purl.obolibrary.org/obo/DOID_0110667,síndrome miasténico congénito de Engel,,,,
http://purl.obolibrary.org/obo/DOID_0110667,síndrome miasténico congénito tipo Engel,,,,
http://purl.obolibrary.org/obo/DOID_0110667,síndrome miasténico congénito tipo Ic,,,,
http://purl.obolibrary.org/obo/DOID_0110667,deficiencia de acetilcolinesterasa en placa terminal,,,,
http://purl.obolibrary.org/obo/DOID_0110669,CMS14,,,,
http://purl.obolibrary.org/obo/DOID_0110669,CMSTA3,,,,
http://purl.obolibrary.org/obo/DOID_0110669,“síndrome miasténico congénito 14,con agregados tubulares”,,,
http://purl.obolibrary.org/obo/DOID_0110669,síndrome miasténico congénito con agregados tubulares 3,,,,
http://purl.obolibrary.org/obo/DOID_0110670,CMS9,,,,
http://purl.obolibrary.org/obo/DOID_0110670,“síndrome miasténico congénito 9,asociado a deficiencia del receptor de acetilcolina”,,,
http://purl.obolibrary.org/obo/DOID_0110671,CMS Ia2,,,,
http://purl.obolibrary.org/obo/DOID_0110671,CMS1A2,,,,
http://purl.obolibrary.org/obo/DOID_0110671,CMS6,,,,
http://purl.obolibrary.org/obo/DOID_0110671,CMSEA,,,,
http://purl.obolibrary.org/obo/DOID_0110671,FIM,,,,
http://purl.obolibrary.org/obo/DOID_0110671,FIMG2,,,,
http://purl.obolibrary.org/obo/DOID_0110671,“síndrome miasténico congénito 6,presináptico”,,,
http://purl.obolibrary.org/obo/DOID_0110671,síndrome miasténico congénito tipo Ia2,,,,
http://purl.obolibrary.org/obo/DOID_0110671,síndrome miasténico presináptico congénito asociado a apnea episódica,,,,
http://purl.obolibrary.org/obo/DOID_0110671,miastenia infantil familiar,,,,
http://purl.obolibrary.org/obo/DOID_0110671,miastenia gravis infantil familiar 2,,,,
http://purl.obolibrary.org/obo/DOID_0110672,CMS21,,,,
http://purl.obolibrary.org/obo/DOID_0110672,“síndrome miasténico congénito 21,presináptico”,,,
http://purl.obolibrary.org/obo/DOID_0110673,CMS19,,,,
http://purl.obolibrary.org/obo/DOID_0110674,CMS17,,,,
http://purl.obolibrary.org/obo/DOID_0110675,CMS Ie,,,,
http://purl.obolibrary.org/obo/DOID_0110675,CMS11,,,,
http://purl.obolibrary.org/obo/DOID_0110675,CMS1E,,,,
http://purl.obolibrary.org/obo/DOID_0110675,síndrome miasténico congénito 11 asociado a la deficiencia del receptor de acetilcolina,,,,
http://purl.obolibrary.org/obo/DOID_0110675,síndrome miasténico congénito 1e,,,,
http://purl.obolibrary.org/obo/DOID_0110676,CMS13,,,,
http://purl.obolibrary.org/obo/DOID_0110676,CMSTA2,,,,
http://purl.obolibrary.org/obo/DOID_0110676,síndrome miasténico congénito 13 con agregados tubulares,,,,
http://purl.obolibrary.org/obo/DOID_0110676,síndrome miasténico congénito con agregados tubulares 2,,,,
http://purl.obolibrary.org/obo/DOID_0110677,CMS4B,,,,
http://purl.obolibrary.org/obo/DOID_0110677,síndrome miasténico congénito 4B de canal rápido,,,,
http://purl.obolibrary.org/obo/DOID_0110678,CMS Ia1,,,,
http://purl.obolibrary.org/obo/DOID_0110678,CMS1A1,,,,
http://purl.obolibrary.org/obo/DOID_0110678,CMS4A,,,,
http://purl.obolibrary.org/obo/DOID_0110678,síndrome miasténico congénito 4A de canal lento,,,,
http://purl.obolibrary.org/obo/DOID_0110678,síndrome miasténico congénito tipo Ia1,,,,
http://purl.obolibrary.org/obo/DOID_0110679,Identificación CMS,,,,
http://purl.obolibrary.org/obo/DOID_0110679,CMS1D,,,,
http://purl.obolibrary.org/obo/DOID_0110679,CMS4C,,,,
http://purl.obolibrary.org/obo/DOID_0110679,FIM1,,,,
http://purl.obolibrary.org/obo/DOID_0110679,síndrome miasténico congénito 4C asociado a la deficiencia del receptor de acetilcolina,,,,
http://purl.obolibrary.org/obo/DOID_0110679,síndrome miasténico congénito tipo identificación,,,,
http://purl.obolibrary.org/obo/DOID_0110679,miastenia infantil familiar 1,,,,
http://purl.obolibrary.org/obo/DOID_0110680,CMS2C,,,,
http://purl.obolibrary.org/obo/DOID_0110680,síndrome miasténico congénito 2C asociado a la deficiencia del receptor de acetilcolina,,,,
http://purl.obolibrary.org/obo/DOID_0110681,CMS2A,,,,
http://purl.obolibrary.org/obo/DOID_0110681,síndrome miasténico congénito 2A de canal lento,,,,
http://purl.obolibrary.org/obo/DOID_0110682,CMS16,,,,
http://purl.obolibrary.org/obo/DOID_0110682,síndrome miasténico congénito sensible a la acetazolamida,,,,
http://purl.obolibrary.org/obo/DOID_0110683,CMS18,,,,
http://purl.obolibrary.org/obo/DOID_0110711,Hjmd,,,,
http://purl.obolibrary.org/obo/DOID_0110711,hipotricosis con distrofia de conos y bastones,,,,
http://purl.obolibrary.org/obo/DOID_0110712,CSNBO1,,,,
http://purl.obolibrary.org/obo/DOID_0110712,ceguera nocturna estacionaria congénita Oguchi tipo 1,,,,
http://purl.obolibrary.org/obo/DOID_0110713,CSNBO2,,,,
http://purl.obolibrary.org/obo/DOID_0110713,ceguera nocturna estacionaria congénita Oguchi tipo 2,,,,
http://purl.obolibrary.org/obo/DOID_0110714,CSNB1G,,,,
http://purl.obolibrary.org/obo/DOID_0110714,ceguera nocturna estacionaria congénita tipo 1G,,,,
http://purl.obolibrary.org/obo/DOID_0110715,CSNBAD3,,,,
http://purl.obolibrary.org/obo/DOID_0110715,ceguera nocturna estacionaria congénita tipo Nougaret,,,,
http://purl.obolibrary.org/obo/DOID_0110862,CSNBAD1,,,,
http://purl.obolibrary.org/obo/DOID_0110862,ceguera nocturna estacionaria congénita relacionada con la rodopsina,,,,
http://purl.obolibrary.org/obo/DOID_0110863,CSNBAD2,,,,
http://purl.obolibrary.org/obo/DOID_0110863,ceguera nocturna estacionaria congénita tipo Rambusch,,,,
http://purl.obolibrary.org/obo/DOID_0110864,CSNB1F,,,,
http://purl.obolibrary.org/obo/DOID_0110864,ceguera nocturna estacionaria congénita 1F autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110865,CSNB1B,,,,
http://purl.obolibrary.org/obo/DOID_0110865,ceguera nocturna estacionaria completa congénita autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110865,ceguera nocturna estacionaria congénita 1B autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110866,CSNB1H,,,,
http://purl.obolibrary.org/obo/DOID_0110866,ceguera nocturna estacionaria congénita tipo 1H,,,,
http://purl.obolibrary.org/obo/DOID_0110867,CSNB1C,,,,
http://purl.obolibrary.org/obo/DOID_0110867,ceguera nocturna estacionaria congénita 1C autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110868,CSNB1D,,,,
http://purl.obolibrary.org/obo/DOID_0110868,ceguera nocturna estacionaria congénita 1D autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110869,CSNB1E,,,,
http://purl.obolibrary.org/obo/DOID_0110869,ceguera nocturna estacionaria congénita 1E autosómica recesiva,,,,
http://purl.obolibrary.org/obo/DOID_0110870,CSNB1A,,,,
http://purl.obolibrary.org/obo/DOID_0110870,NBMI,,,,
http://purl.obolibrary.org/obo/DOID_0110870,CSNB completa ligada al X,,,,
http://purl.obolibrary.org/obo/DOID_0110870,ceguera nocturna estacionaria congénita 1A ligada al X,,,,
http://purl.obolibrary.org/obo/DOID_0110870,ceguera nocturna estacionaria congénita con miopía,,,,
http://purl.obolibrary.org/obo/DOID_0110870,hemeralopía-miopía,,,,
http://purl.obolibrary.org/obo/DOID_0110870,miopía-ceguera nocturna,,,,
http://purl.obolibrary.org/obo/DOID_0110871,ceguera nocturna estacionaria congénita 2A ligada al X,,,,
http://purl.obolibrary.org/obo/DOID_0110872,HPE2,,,,
http://purl.obolibrary.org/obo/DOID_4621,Secuencia de holoprosencefalia,,,,
http://purl.obolibrary.org/obo/DOID_0110873,HPE9,,,,
http://purl.obolibrary.org/obo/DOID_0110873,holoprosencefalia con microftalmia y anomalías del primer arco branquial,,,,
http://purl.obolibrary.org/obo/DOID_0110873,anomalías hipofisarias con rasgos holoprosencefálicos,,,,
http://purl.obolibrary.org/obo/DOID_0110874,HPE6,,,,
http://purl.obolibrary.org/obo/DOID_0110875,HLP3,,,,
http://purl.obolibrary.org/obo/DOID_0110875,HPE3,,,,
http://purl.obolibrary.org/obo/DOID_0110876,HPE7,,,,
http://purl.obolibrary.org/obo/DOID_0110877,HPE11,,,,
http://purl.obolibrary.org/obo/DOID_0110878,HPE5,,,,
http://purl.obolibrary.org/obo/DOID_0110879,HPE8,,,,
http://purl.obolibrary.org/obo/DOID_0110880,HPE4,,,,
http://purl.obolibrary.org/obo/DOID_0110881,HPE1,,,,
http://purl.obolibrary.org/obo/DOID_0110916,HS1,,,,
http://purl.obolibrary.org/obo/DOID_0110916,SPH1,,,,
http://purl.obolibrary.org/obo/DOID_0110916,esferocitosis hereditaria 1,,,,
http://purl.obolibrary.org/obo/DOID_12971,Anemia hemolítica esferocítica congénita,,,,
http://purl.obolibrary.org/obo/DOID_12971,síndrome de Minkowski Chauffard,,,,
http://purl.obolibrary.org/obo/DOID_12971,anemia esferocítica,,,,
http://purl.obolibrary.org/obo/DOID_0110917,HS2,,,,
http://purl.obolibrary.org/obo/DOID_0110917,SPH2,,,,
http://purl.obolibrary.org/obo/DOID_0110917,esferocitosis hereditaria 2,,,,
http://purl.obolibrary.org/obo/DOID_0110918,HS3,,,,
http://purl.obolibrary.org/obo/DOID_0110918,SPH3,,,,
http://purl.obolibrary.org/obo/DOID_0110918,esferocitosis hereditaria 3,,,,
http://purl.obolibrary.org/obo/DOID_0110919,HS4,,,,
http://purl.obolibrary.org/obo/DOID_0110919,SPH4,,,,
http://purl.obolibrary.org/obo/DOID_0110919,esferocitosis hereditaria 4,,,,
http://purl.obolibrary.org/obo/DOID_0110920,HS5,,,,
http://purl.obolibrary.org/obo/DOID_0110920,SPH5,,,,
http://purl.obolibrary.org/obo/DOID_0110920,esferocitosis hereditaria 5,,,,
http://purl.obolibrary.org/obo/DOID_0111066,CBAS5,,,,
http://purl.obolibrary.org/obo/DOID_0111067,CBAS6,,,,
http://purl.obolibrary.org/obo/DOID_0111068,CBAS4,,,,
http://purl.obolibrary.org/obo/DOID_0111068,colestasis intrahepática con conversión defectuosa del ácido trihidroxicoprostánico en ácido cólico,,,,
http://purl.obolibrary.org/obo/DOID_0111068,ácido trihidroxicoprostánico en la bilis,,,,
http://purl.obolibrary.org/obo/DOID_0111069,CBAS2,,,,
http://purl.obolibrary.org/obo/DOID_0111069,colestasis con deficiencia de delta(4)-3-oxosteroide 5-beta-reductasa,,,,
http://purl.obolibrary.org/obo/DOID_0111070,CBAS3,,,,
http://purl.obolibrary.org/obo/DOID_0111070,deficiencia de oxisterol 7-alfa-hidroxilasa,,,,
http://purl.obolibrary.org/obo/DOID_0111071,CBAS1,,,,
http://purl.obolibrary.org/obo/DOID_0111077,deficiencia PK,,,,
http://purl.obolibrary.org/obo/DOID_0111077,anemia hemolítica debida a la deficiencia de piruvato quinasa de los glóbulos rojos,,,,
http://purl.obolibrary.org/obo/DOID_0111077,deficiencia de piruvato quinasa eritrocitaria,,,,
http://purl.obolibrary.org/obo/DOID_2861,HNSHA,,,,
http://purl.obolibrary.org/obo/DOID_2861,anemia hemolítica congénita no esferocítica,,,,
http://purl.obolibrary.org/obo/DOID_2861,anemia hemolítica hereditaria no esferocítica,,,,
http://purl.obolibrary.org/obo/DOID_2861,anemia hemolítica hereditaria no esferocítica,,,,
http://purl.obolibrary.org/obo/DOID_0111080,FANCV,,,,
http://purl.obolibrary.org/obo/DOID_13636,anemia de Fanconi,,,,
http://purl.obolibrary.org/obo/DOID_13636,pancitopenia de Fanconi,,,,
http://purl.obolibrary.org/obo/DOID_13636,panmielopatía de Fanconi,,,,
http://purl.obolibrary.org/obo/DOID_13636,anemia de Fanconi,,,,
http://purl.obolibrary.org/obo/DOID_13636,anemia de Fanconi,,,,
http://purl.obolibrary.org/obo/DOID_0111081,FANCT,,,,
http://purl.obolibrary.org/obo/DOID_0111082,FANCL,,,,
http://purl.obolibrary.org/obo/DOID_0111083,FA4,,,,
http://purl.obolibrary.org/obo/DOID_0111083,FAD2,,,,
http://purl.obolibrary.org/obo/DOID_0111083,FANCD2,,,,
http://purl.obolibrary.org/obo/DOID_0111083,pancitopenia de Fanconi tipo 4,,,,
http://purl.obolibrary.org/obo/DOID_0111084,CARA,,,,
http://purl.obolibrary.org/obo/DOID_0111084,FANCE,,,,
http://purl.obolibrary.org/obo/DOID_0111085,FANCU,,,,
http://purl.obolibrary.org/obo/DOID_0111086,FANCG,,,,
http://purl.obolibrary.org/obo/DOID_0111087,FA3,,,,
http://purl.obolibrary.org/obo/DOID_0111087,FACC,,,,
http://purl.obolibrary.org/obo/DOID_0111087,FANCC,,,,
http://purl.obolibrary.org/obo/DOID_0111087,pancitopenia de Fanconi tipo 3,,,,
http://purl.obolibrary.org/obo/DOID_0111088,FANCF,,,,
http://purl.obolibrary.org/obo/DOID_0111089,FAD1,,,,
