clase, syn,,,,
http://purl.obolibrary.org/obo/DOID_0060655,ictiosis laminar,,,,
http://purl.obolibrary.org/obo/DOID_0060655,eritrodermia ictiosiforme congénita no bullosa,,,,
http://purl.obolibrary.org/obo/DOID_0060656,ARCI1,,,,
http://purl.obolibrary.org/obo/DOID_0060656,ictiosis del bañador,,,,
http://purl.obolibrary.org/obo/DOID_0060710,ARCI2,,,,
http://purl.obolibrary.org/obo/DOID_0060710,BROCQ forma no bullosa de eritrodermia ictiosiforme congénita,,,,
http://purl.obolibrary.org/obo/DOID_0060710,NCIE1,,,,
http://purl.obolibrary.org/obo/DOID_0060710,eritrodermia ictiosiforme congénita no bullosa 1,,,,
http://purl.obolibrary.org/obo/DOID_0060711,ARCI3,,,,
http://purl.obolibrary.org/obo/DOID_0060711,ictiosis laminar 5,,,,
http://purl.obolibrary.org/obo/DOID_0060712,ARCI4A,,,,
http://purl.obolibrary.org/obo/DOID_0060712,ICR2B,,,,
http://purl.obolibrary.org/obo/DOID_0060712,ictiosis congénita IIB,,,,
http://purl.obolibrary.org/obo/DOID_0060712,ictiosis laminar 2,,,,
http://purl.obolibrary.org/obo/DOID_0060713,ARCI4B,,,,
http://purl.obolibrary.org/obo/DOID_0060713,ictiosis arlequín,,,,
http://purl.obolibrary.org/obo/DOID_0060713,ictiosis congénita de tipo arlequín,,,,
http://purl.obolibrary.org/obo/DOID_0060713,ictiosis fetal de tipo arlequín,,,,
http://purl.obolibrary.org/obo/DOID_0060714,ARCI5,,,,
http://purl.obolibrary.org/obo/DOID_0060714,ictiosis congénita autosómica recesiva no laminar y no eritrodérmica,,,,
http://purl.obolibrary.org/obo/DOID_0060715,ARCI6,,,,
http://purl.obolibrary.org/obo/DOID_0060716,ARCI7,,,,
http://purl.obolibrary.org/obo/DOID_0060717,ARCI8,,,,
http://purl.obolibrary.org/obo/DOID_0060717,ictiosis laminar 4,,,,
http://purl.obolibrary.org/obo/DOID_0060717,ictiosis lamelar de aparición tardía,,,,
http://purl.obolibrary.org/obo/DOID_0060718,ARCI9,,,,
http://purl.obolibrary.org/obo/DOID_0060719,ARCI10,,,,
http://purl.obolibrary.org/obo/DOID_0060720,síndrome IFAH,,,,
http://purl.obolibrary.org/obo/DOID_0060720,IHS,,,,
http://purl.obolibrary.org/obo/DOID_0060720,ictiosis autosómica recesiva con hipotricosis,,,,
http://purl.obolibrary.org/obo/DOID_0060720,síndrome de hipotricosis-ictiosis congénita,,,,
http://purl.obolibrary.org/obo/DOID_0060720,ictiosis y atrofodermia folicular con hipotricosis e hipohidrosis,,,,
