class,syn
http://purl.obolibrary.org/obo/DOID_0060712,ARCI4A
http://purl.obolibrary.org/obo/DOID_0060712,ICR2B
http://purl.obolibrary.org/obo/DOID_0060712,ichthyosis congenita IIB
http://purl.obolibrary.org/obo/DOID_0060712,lamellar ichthyosis 2
http://purl.obolibrary.org/obo/DOID_0060713,ARCI4B
http://purl.obolibrary.org/obo/DOID_0060713,harlequin ichthyosis
http://purl.obolibrary.org/obo/DOID_0060713,harlequin type ichthyosis congenita
http://purl.obolibrary.org/obo/DOID_0060713,harlequin type ichthyosis fetalis
http://purl.obolibrary.org/obo/DOID_0060714,ARCI5
http://purl.obolibrary.org/obo/DOID_0060714,autosomal recessive congenital nonlamellar and nonerythrodermic ichthyosis
http://purl.obolibrary.org/obo/DOID_0060715,ARCI6
http://purl.obolibrary.org/obo/DOID_0060716,ARCI7
http://purl.obolibrary.org/obo/DOID_0060717,ARCI8
http://purl.obolibrary.org/obo/DOID_0060717,lamellar ichthyosis 4
http://purl.obolibrary.org/obo/DOID_0060717,late-onset lamellar ichthyosis
http://purl.obolibrary.org/obo/DOID_0060718,ARCI9
http://purl.obolibrary.org/obo/DOID_0060719,ARCI10
http://purl.obolibrary.org/obo/DOID_0060720,IFAH syndrome
http://purl.obolibrary.org/obo/DOID_0060720,IHS
http://purl.obolibrary.org/obo/DOID_0060720,autosomal recessive ichthyosis with hypotrichosis
http://purl.obolibrary.org/obo/DOID_0060720,hypotrichosis-congenital ichthyosis syndrome
http://purl.obolibrary.org/obo/DOID_0060720,ichthyosis and follicular atrophoderma with hypotrichosis and hypohidrosis
http://purl.obolibrary.org/obo/DOID_0060720,ichthyosis-follicular atrophoderma-hypotrichosis syndrome
http://purl.obolibrary.org/obo/DOID_0060720,ichthyosis-follicular atrophoderma-hypotrichosis-hypohidrosis syndrome
http://purl.obolibrary.org/obo/DOID_0060720,ichthyosis-hypotrichosis syndrome
http://purl.obolibrary.org/obo/DOID_0060731,CCHS
http://purl.obolibrary.org/obo/DOID_0060731,Ondine curse
http://purl.obolibrary.org/obo/DOID_0060731,Ondine syndrome
http://purl.obolibrary.org/obo/DOID_0060731,central congenital hypoventilation syndrome
http://purl.obolibrary.org/obo/DOID_0060731,congenital central alveolar hypoventilation syndrome
http://purl.obolibrary.org/obo/DOID_0060769,alymphoid cystic thymic dysgenesis
http://purl.obolibrary.org/obo/DOID_0060769,severe T-cell immunodeficiency-congenital alopecia-nail dystrophy syndrome
http://purl.obolibrary.org/obo/DOID_0060769,winged helix deficiency
http://purl.obolibrary.org/obo/DOID_0060770,D-TGA
http://purl.obolibrary.org/obo/DOID_0060770,DTGA1
http://purl.obolibrary.org/obo/DOID_0060770,congenitally uncorrected transposition of the great arteries
http://purl.obolibrary.org/obo/DOID_0060770,congenitally uncorrected transposition of the great vessels
http://purl.obolibrary.org/obo/DOID_0060770,isolated ventriculoarterial discordance
http://purl.obolibrary.org/obo/DOID_0060770,ventriculoarterial discordance with atrioventricular concordance
http://purl.obolibrary.org/obo/DOID_1682,Congenital Heart Defects
http://purl.obolibrary.org/obo/DOID_1682,Congenital anomaly of heart
http://purl.obolibrary.org/obo/DOID_1682,Heart Malformation
http://purl.obolibrary.org/obo/DOID_1682,congenital heart defect
http://purl.obolibrary.org/obo/DOID_1682,heart defect
http://purl.obolibrary.org/obo/DOID_1682,Heart-congenital defect
http://purl.obolibrary.org/obo/DOID_0060772,DTGA3
http://purl.obolibrary.org/obo/DOID_0060772,dextro-looped transposition of the great arteries 3
http://purl.obolibrary.org/obo/DOID_0060775,Davidson disease
http://purl.obolibrary.org/obo/DOID_0060775,MVD
http://purl.obolibrary.org/obo/DOID_0060775,congenital familial protracted diarrhea with enterocyte brush-border abnormalities
http://purl.obolibrary.org/obo/DOID_0060775,congenital microvillus atrophy
http://purl.obolibrary.org/obo/DOID_0060775,diarrhea 2 with microvillus atrophy
http://purl.obolibrary.org/obo/DOID_0060775,intractable diarrhea of infancy
http://purl.obolibrary.org/obo/DOID_0060776,DIAR5
http://purl.obolibrary.org/obo/DOID_0060776,congenital diarrhoea 5 with tufting enteropathy
http://purl.obolibrary.org/obo/DOID_0060776,congenital familial intractable diarrhea with epithelial or epithelium abnormalities
http://purl.obolibrary.org/obo/DOID_0060776,congenital familial intractable diarrhoea with epithelial or epithelium abnormalities
http://purl.obolibrary.org/obo/DOID_0060776,congenital tufting enteropathy
http://purl.obolibrary.org/obo/DOID_0060776,tufting enteropathy
http://purl.obolibrary.org/obo/DOID_0060777,DIAR8
http://purl.obolibrary.org/obo/DOID_0060778,congenital chronic diarrhea with exudative enteropathy
http://purl.obolibrary.org/obo/DOID_0060778,congenital chronic diarrhea with protein-losing enteropathy
http://purl.obolibrary.org/obo/DOID_0060778,congenital chronic diarrhoea with exudative enteropathy
http://purl.obolibrary.org/obo/DOID_0060778,congenital chronic diarrhoea with protein-losing enteropathy
http://purl.obolibrary.org/obo/DOID_0060778,congenital diarrhoea 7 with exudative enteropathy
http://purl.obolibrary.org/obo/DOID_0060779,congenital malabsorptive diarrhea due to paucity of enteroendocrine cells
http://purl.obolibrary.org/obo/DOID_0060779,congenital malabsorptive diarrhoea 4
http://purl.obolibrary.org/obo/DOID_0060779,congenital malabsorptive diarrhoea due to paucity of enteroendocrine cells
http://purl.obolibrary.org/obo/DOID_0060779,enteric anendocrinosis
http://purl.obolibrary.org/obo/DOID_0060780,chronic diarrhea due to guanylate cyclase 2C overactivity
http://purl.obolibrary.org/obo/DOID_0060780,chronic diarrhoea due to guanylate cyclase 2C overactivity
http://purl.obolibrary.org/obo/DOID_0060780,congenital diarrhoea 6
http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhea 3 syndromic
http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhea 3 with or without other congenital anomalies
http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhoea 3
http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhoea 3 syndromic
http://purl.obolibrary.org/obo/DOID_0060781,congenital secretory sodium diarrhoea 3 with or without other congenital anomalies
http://purl.obolibrary.org/obo/DOID_0060856,Ivemark syndrome
http://purl.obolibrary.org/obo/DOID_0060856,asplenia with cardiovascular anomalies
http://purl.obolibrary.org/obo/DOID_0060902,lissencephaly 2
http://purl.obolibrary.org/obo/DOID_0060902,"lissencephaly syndrome, Norman-Roberts type"
http://purl.obolibrary.org/obo/DOID_0070123,CHNG4
http://purl.obolibrary.org/obo/DOID_0070123,isolated thyrotropin deficiency
http://purl.obolibrary.org/obo/DOID_0070124,CHNG2
http://purl.obolibrary.org/obo/DOID_0070124,congenital hypothyroidism due to thyroid dysgenesis or hypoplasia
http://purl.obolibrary.org/obo/DOID_0070125,CHNG5
http://purl.obolibrary.org/obo/DOID_0070126,CHNG1
http://purl.obolibrary.org/obo/DOID_0070126,TSH resistance
http://purl.obolibrary.org/obo/DOID_0070127,CHNG3
http://purl.obolibrary.org/obo/DOID_0070128,CHNG6
http://purl.obolibrary.org/obo/DOID_0070253,Alkuraya syndrome
http://purl.obolibrary.org/obo/DOID_0070253,CDG IIa
http://purl.obolibrary.org/obo/DOID_0070253,CDG2A
http://purl.obolibrary.org/obo/DOID_0070253,CDGIIa
http://purl.obolibrary.org/obo/DOID_0070253,CDGS2
http://purl.obolibrary.org/obo/DOID_0070253,"carbohydrate-deficient glycoprotein syndrome, type II"
http://purl.obolibrary.org/obo/DOID_0070253,"congenital disorder of glycosylation, type IIa"
http://purl.obolibrary.org/obo/DOID_0070253,"mental retardation, growth retardation, prominent columella, and open mouth"
http://purl.obolibrary.org/obo/DOID_0070254,CDG IIb
http://purl.obolibrary.org/obo/DOID_0070254,CDG2B
http://purl.obolibrary.org/obo/DOID_0070254,CDGIIb
http://purl.obolibrary.org/obo/DOID_0070254,glucosidase I deficiency
http://purl.obolibrary.org/obo/DOID_0070255,CDG IIc
http://purl.obolibrary.org/obo/DOID_0070255,CDG2C
http://purl.obolibrary.org/obo/DOID_0070255,CDGIIc
http://purl.obolibrary.org/obo/DOID_0070255,Rambam-Hasharon syndrome
http://purl.obolibrary.org/obo/DOID_0070256,CDG IId
http://purl.obolibrary.org/obo/DOID_0070256,CDG2D
http://purl.obolibrary.org/obo/DOID_0070256,CDGIId
http://purl.obolibrary.org/obo/DOID_0070257,CDG IIe
http://purl.obolibrary.org/obo/DOID_0070257,CDG syndrome type IIe
http://purl.obolibrary.org/obo/DOID_0070257,CDG2E
http://purl.obolibrary.org/obo/DOID_0070257,CDGIIde
http://purl.obolibrary.org/obo/DOID_0070257,COG7-CDG
http://purl.obolibrary.org/obo/DOID_0070257,Carbohydrate deficient glycoprotein syndrome type IIe
http://purl.obolibrary.org/obo/DOID_0070258,CDG IIf
http://purl.obolibrary.org/obo/DOID_0070258,CDG2F
http://purl.obolibrary.org/obo/DOID_0070258,CDGIIdf
http://purl.obolibrary.org/obo/DOID_0070258,CMP-sialic acid transporter deficiency
http://purl.obolibrary.org/obo/DOID_0070258,Carbohydrate deficient glycoprotein syndrome type IIf
http://purl.obolibrary.org/obo/DOID_0070258,SLC35A1-CDG
http://purl.obolibrary.org/obo/DOID_0070259,CDG IIg
http://purl.obolibrary.org/obo/DOID_0070259,CDG2G
http://purl.obolibrary.org/obo/DOID_0070259,CDGII/COG1 cerebrocostomandibular-like syndrome
http://purl.obolibrary.org/obo/DOID_0070259,CDGIIg
http://purl.obolibrary.org/obo/DOID_0070259,Carbohydrate deficient glycoprotein syndrome type IIg
http://purl.obolibrary.org/obo/DOID_0070260,CDG IIh
http://purl.obolibrary.org/obo/DOID_0070260,CDG2H
http://purl.obolibrary.org/obo/DOID_0070260,CDGIIdh
http://purl.obolibrary.org/obo/DOID_0070260,COG8-CDG
http://purl.obolibrary.org/obo/DOID_0070260,Carbohydrate deficient glycoprotein syndrome type IIh
http://purl.obolibrary.org/obo/DOID_0070260,Congenital disorder of glycosylation type 2h
http://purl.obolibrary.org/obo/DOID_0070261,CDG IIi
http://purl.obolibrary.org/obo/DOID_0070261,CDG syndrome type IIi
http://purl.obolibrary.org/obo/DOID_0070261,CDG2I
http://purl.obolibrary.org/obo/DOID_0070261,CDGIIdi
http://purl.obolibrary.org/obo/DOID_0070261,COG5-CDG
http://purl.obolibrary.org/obo/DOID_0070261,Carbohydrate deficient glycoprotein syndrome type IIi
http://purl.obolibrary.org/obo/DOID_0070261,Congenital disorder of glycosylation type 2i
http://purl.obolibrary.org/obo/DOID_0070262,CDG IIj
http://purl.obolibrary.org/obo/DOID_0070262,CDG syndrome type IIj
http://purl.obolibrary.org/obo/DOID_0070262,CDG2J
http://purl.obolibrary.org/obo/DOID_0070262,CDGIIdj
http://purl.obolibrary.org/obo/DOID_0070262,COG4-CDG
http://purl.obolibrary.org/obo/DOID_0070262,Carbohydrate deficient glycoprotein syndrome type IIj
http://purl.obolibrary.org/obo/DOID_0070262,Congenital disorder of glycosylation type 2j
http://purl.obolibrary.org/obo/DOID_0070263,CDG IIk
http://purl.obolibrary.org/obo/DOID_0070263,CDG syndrome type IIk
http://purl.obolibrary.org/obo/DOID_0070263,CDG2K
http://purl.obolibrary.org/obo/DOID_0070263,CDGIIdk
http://purl.obolibrary.org/obo/DOID_0070263,Carbohydrate deficient glycoprotein syndrome type IIk
http://purl.obolibrary.org/obo/DOID_0070263,Congenital disorder of glycosylation type 2k
http://purl.obolibrary.org/obo/DOID_0070263,TMEM165-CDG
http://purl.obolibrary.org/obo/DOID_0070264,CDG IIl
http://purl.obolibrary.org/obo/DOID_0070264,CDG syndrome type IIL
http://purl.obolibrary.org/obo/DOID_0070264,CDG2L
http://purl.obolibrary.org/obo/DOID_0070264,CDGIIdl
http://purl.obolibrary.org/obo/DOID_0070264,COG6-CGD
http://purl.obolibrary.org/obo/DOID_0070264,Congenital disorder of glycosylation type 2l
http://purl.obolibrary.org/obo/DOID_0070265,SLC35A2-CDG
http://purl.obolibrary.org/obo/DOID_0070265,congenital disorder of glycosylation type 2m
http://purl.obolibrary.org/obo/DOID_0070265,developmental and epileptic encephalopathy 22
http://purl.obolibrary.org/obo/DOID_0070265,"epileptic encephalopathy, early infantile, 22"
http://purl.obolibrary.org/obo/DOID_0070266,CDG IIn
http://purl.obolibrary.org/obo/DOID_0070266,CDG syndrome type IIn
http://purl.obolibrary.org/obo/DOID_0070266,CDG2N
http://purl.obolibrary.org/obo/DOID_0070266,CDGIIdn
http://purl.obolibrary.org/obo/DOID_0070266,Carbohydrate deficient glycoprotein syndrome type IIn
http://purl.obolibrary.org/obo/DOID_0070266,Congenital disorder of glycosylation type 2n
http://purl.obolibrary.org/obo/DOID_0070266,SLC39A8-CDG
http://purl.obolibrary.org/obo/DOID_0070267,CCDC115-CDG
http://purl.obolibrary.org/obo/DOID_0070267,CDG IIo
http://purl.obolibrary.org/obo/DOID_0070267,CDG syndrome type IIo
http://purl.obolibrary.org/obo/DOID_0070267,CDG2O
http://purl.obolibrary.org/obo/DOID_0070267,CDGIIdo
http://purl.obolibrary.org/obo/DOID_0070267,Carbohydrate deficient glycoprotein syndrome type IIo
http://purl.obolibrary.org/obo/DOID_0070267,Congenital disorder of glycosylation type 2o
http://purl.obolibrary.org/obo/DOID_0070268,CDG IIp
http://purl.obolibrary.org/obo/DOID_0070268,CDG syndrome type IIp
http://purl.obolibrary.org/obo/DOID_0070268,CDG2P
http://purl.obolibrary.org/obo/DOID_0070268,CDGIIdp
http://purl.obolibrary.org/obo/DOID_0070268,Carbohydrate deficient glycoprotein syndrome type IIp
http://purl.obolibrary.org/obo/DOID_0070268,Congenital disorder of glycosylation type 2p
http://purl.obolibrary.org/obo/DOID_0070268,TMEM199-CDG
http://purl.obolibrary.org/obo/DOID_0070269,CDG IIq
http://purl.obolibrary.org/obo/DOID_0070269,CDG2Q
http://purl.obolibrary.org/obo/DOID_0070269,CDGIIdq
http://purl.obolibrary.org/obo/DOID_0070269,COG2-CDG
